,chart,title,rank,album,artist,genre,publisher,agency,date
0,20190301,옥탑방 (Rooftop),1,FLY HIGH PROJECT #2 '옥탑방',엔플라잉 (N.Flying),락 / 가요,카카오엔터테인먼트,FNC엔터테인먼트,2019.01.02
1,20190301,달라달라,2,IT'z Different,ITZY (있지),댄스 / 가요,Dreamus,(주)JYP엔터테인먼트,2019.02.12
2,20190301,그때가 좋았어,3,그때가 좋았어,케이시 (Kassy),발라드 / 가요,카카오엔터테인먼트,넥스타 엔터테인먼트,2018.12.31
3,20190301,멍청이 (twit),4,멍청이 (twit),화사 (Hwa Sa),댄스 / 가요,카카오엔터테인먼트,(주)RBW,2019.02.13
4,20190301,술이 달다 (Feat. Crush),5,sleepless in __________,에픽하이 (EPIK HIGH),랩/힙합 / 가요,카카오엔터테인먼트,OURS Co.,2019.03.11
5,20190301,이 노래가 클럽에서 나온다면,6,이 노래가 클럽에서 나온다면,우디 (Woody),인디 / 가요,지니뮤직,인디안레이블,2019.01.23
6,20190301,봄 (Feat. 산다라박),7,Spring,박봄 (Park Bom),R&B/소울 / 가요,㈜다날엔터테인먼트,디네이션,2019.03.13
7,20190301,벌써 12시,8,벌써 12시,청하,댄스 / 가요,"지니뮤직, Stone Music Entertainment",MNH Entertainment,2019.01.02
8,20190301,넘쳐흘러,9,Circular,엠씨더맥스 (M.C the MAX),발라드 / 가요,카카오엔터테인먼트,325 이엔씨,2019.01.02
9,20190301,주저하는 연인들을 위해,10,전설,잔나비,인디 / 가요,카카오엔터테인먼트,페포니 뮤직,2019.03.13
10,20190301,고고베베 (gogobebe),11,White Wind,마마무(Mamamoo),댄스 / 가요,카카오엔터테인먼트,(주)RBW,2019.03.14
11,20190301,그건 아마 우리의 잘못은 아닐 거야,12,Our love is great,백예린 (Yerin Baek),R&B/소울 / 가요,Dreamus,(주)JYP엔터테인먼트,2019.03.18
12,20190301,"모든 날, 모든 순간 (Every day, Every Moment)",13,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마),폴킴,드라마 / OST,Dreamus,SM ENTERTAINMENT,2018.03.20
13,20190301,그러나,14,4.3,10CM,인디 / 가요,포크라노스,매직스트로베리사운드,2019.03.07
14,20190301,사랑해서 그래,15,강민경 1집,강민경 (다비치),발라드 / 가요,지니뮤직,Stone Music Entertainment,2019.02.27
15,20190301,너도 그냥 날 놓아주면 돼,16,너도 그냥 날 놓아주면 돼,윤건,발라드 / 가요,지니뮤직,센토엔터테인먼트,2018.11.29
16,20190301,당신과는 천천히,17,장범준 3집,장범준,락 / 가요,카카오엔터테인먼트,㈜버스커버스커,2019.03.21
17,20190301,너를 만나,18,너를 만나,폴킴,발라드 / 가요,카카오엔터테인먼트,뉴런뮤직,2018.10.29
18,20190301,띵 (Prod. by 기리보이),19,Dingo X Indigo Music,Jvcki Wai & 양홍원 & Osshun Gum & 한요한,랩/힙합 / 가요,카카오엔터테인먼트,"인디고뮤직, 딩고뮤직",2019.01.13
19,20190301,신용재,20,신용재,하은 (포맨),발라드 / 가요,지니뮤직,인디안레이블,2018.11.06
20,20190301,180도,21,180˚,벤,발라드 / 가요,지니뮤직,메이저나인,2018.12.07
21,20190301,누아르 (Noir),22,누아르 (Noir),선미,댄스 / 가요,카카오엔터테인먼트,(주)메이크어스엔터테인먼트,2019.03.04
22,20190301,신청곡 (Feat. SUGA of BTS),23,신청곡,이소라,발라드 / 가요,NHN벅스,에르타알레,2019.01.22
23,20190301,호불호 (Feat. 기리보이) (Prod. by GRAY),24,호불호,우원재 (Woo),랩/힙합 / 가요,"지니뮤직, Stone Music Entertainment",AOMG,2019.03.11
24,20190301,사계 (Four Seasons),25,사계 (Four Seasons),태연 (TAEYEON),발라드 / 가요,Dreamus,SM ENTERTAINMENT,2019.03.24
25,20190301,노래방에서,26,장범준 3집,장범준,락 / 가요,카카오엔터테인먼트,㈜버스커버스커,2019.03.21
26,20190301,SOLO,27,SOLO,제니 (JENNIE),랩/힙합 / 가요,YG PLUS,(주)YG엔터테인먼트,2018.11.12
27,20190301,Senorita,28,I made,(여자)아이들,댄스 / 가요,카카오엔터테인먼트,큐브 엔터테인먼트,2019.02.26
28,20190301,Way Back Home,29,Take,숀 (SHAUN),일렉트로니카 / 가요,워너뮤직,디씨톰엔터테인먼트,2018.06.27
29,20190301,내 생에 아름다운,30,뷰티 인사이드 OST Part.4 (JTBC 월화드라마),케이윌 (K.Will),드라마 / OST,뮤직앤뉴,"뮤직앤뉴, 스튜디오앤뉴",2018.10.23
