,chart,title,rank,album,artist,genre,publisher,agency,date
0,20191001,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",1,항해,AKMU (악뮤),락 / 가요,YG PLUS,(주)YG엔터테인먼트,2019.09.25
1,20191001,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,2,멜로가 체질 OST Part 3 (JTBC 금토 드라마),장범준,드라마 / OST,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, 삼화네트웍스",2019.08.23
2,20191001,조금 취했어 (Prod. by 2soo),3,조금 취했어,임재현,인디 / 가요,카카오엔터테인먼트,"엔에스씨컴퍼니, 디원미디어",2019.09.24
3,20191001,워커홀릭,4,Two Five,볼빨간사춘기,인디 / 가요,NHN벅스,쇼파르뮤직,2019.09.10
4,20191001,안녕,5,호텔 델루나 OST Part.10 (tvN 토일드라마),폴킴,드라마 / OST,Dreamus,냠냠엔터테인먼트,2019.08.12
5,20191001,새 사랑,6,새 사랑,송하예,발라드 / 가요,㈜다날엔터테인먼트,더하기미디어,2019.10.12
6,20191001,사랑이란 멜로는 없어,7,사랑이란 멜로는 없어,전상근,발라드 / 가요,카카오엔터테인먼트,㈜ 스튜디오 오드리,2019.09.08
7,20191001,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),8,Red Moon : To You My Light,마크툽 (Maktub),인디 / 가요,워너뮤직,(주)MAKTUB Company,2019.06.09
8,20191001,시든 꽃에 물을 주듯,9,시든 꽃에 물을 주듯,HYNN (박혜원),발라드 / 가요,카카오엔터테인먼트,㈜엔터테인먼트뉴오더,2019.03.31
9,20191001,허전해,10,"정규 2집 '마음, 하나'",폴킴,R&B/소울 / 가요,카카오엔터테인먼트,뉴런뮤직,2019.10.07
10,20191001,있어줘요,11,있어줘요,장덕철,인디 / 가요,카카오엔터테인먼트,리메즈,2019.10.09
11,20191001,니 소식,12,니 소식,송하예,발라드 / 가요,㈜다날엔터테인먼트,더하기미디어,2019.05.11
12,20191001,가을밤 떠난 너,13,Rewind,케이시 (Kassy),발라드 / 가요,카카오엔터테인먼트,넥스타 엔터테인먼트,2019.09.05
13,20191001,Feel Special,14,Feel Special,TWICE (트와이스),댄스 / 가요,Dreamus,(주)JYP엔터테인먼트,2019.09.23
14,20191001,기억해줘요 내 모든 날과 그때를,15,호텔 델루나 OST Part.7 (tvN 토일드라마),거미 (Gummy),드라마 / OST,Dreamus,냠냠엔터테인먼트,2019.08.04
15,20191001,포장마차,16,포장마차,황인욱,발라드 / 가요,NHN벅스,하우엔터테인먼트,2019.06.20
16,20191001,2002,17,Speak Your Mind (Deluxe),Anne-Marie,팝 / POP,워너뮤직,Atlantic Records UK,2018.08.03
17,20191001,떨어지는 낙엽까지도,18,만추,헤이즈 (Heize),R&B/소울 / 가요,지니뮤직,"Stone Music Entertainment, Studio blu",2019.10.13
18,20191001,나만 아픈 일,19,나만 아픈 일,이해리 (다비치),발라드 / 가요,지니뮤직,Stone Music Entertainment,2019.09.23
19,20191001,그대라는 시,20,호텔 델루나 OST Part.3 (tvN 토일드라마),태연 (TAEYEON),드라마 / OST,Dreamus,냠냠엔터테인먼트,2019.07.21
20,20191001,술이 문제야,21,술이 문제야,장혜진 & 윤민수(바이브),발라드 / 가요,카카오엔터테인먼트,젤리피쉬 엔터테인먼트,2019.06.18
21,20191001,달,22,항해,AKMU (악뮤),락 / 가요,YG PLUS,(주)YG엔터테인먼트,2019.09.25
22,20191001,사랑에 연습이 있었다면 (Prod. by 2soo),23,사랑에 연습이 있었다면,임재현,발라드 / 가요,카카오엔터테인먼트,"엔에스씨컴퍼니, 디원미디어",2018.09.25
23,20191001,가끔 이러다,24,가끔 이러다,펀치 (Punch),R&B/소울 / 가요,카카오엔터테인먼트,냠냠엔터테인먼트,2019.09.18
24,20191001,헤어지자 (Prod. by 정키 (Jung Key)),25,soar,휘인 (Whee In),발라드 / 가요,카카오엔터테인먼트,(주)RBW,2019.09.04
25,20191001,Senorita,26,Senorita,Camila Cabello & Shawn Mendes,팝 / POP,Universal Music,"Island Records, a division of UMG Recordings, Inc.",2019.06.21
