,chart,title,rank,album,artist,genre,publisher,agency,date
0,20200201,아무노래,1,아무노래,지코 (ZICO),랩/힙합 / 가요,카카오엔터테인먼트,KOZ 엔터테인먼트,2020.01.13
1,20200201,METEOR,2,Boyhood,창모 (CHANGMO),랩/힙합 / 가요,"지니뮤직, Stone Music Entertainment",Ambition Musik,2019.11.29
2,20200201,Psycho,3,'The ReVe Festival' Finale,Red Velvet (레드벨벳),댄스 / 가요,Dreamus,SM ENTERTAINMENT,2019.12.23
3,20200201,Blueming,4,Love poem,아이유 (IU),락 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2019.11.18
4,20200201,늦은 밤 너의 집 앞 골목길에서,5,늦은 밤 너의 집 앞 골목길에서,노을,발라드 / 가요,카카오엔터테인먼트,씨제스 엔터테인먼트 (C-JeS Entertainment),2019.11.07
5,20200201,"다시 난, 여기",6,사랑의 불시착 OST Part 4 (tvN 토일 드라마),백예린 (Yerin Baek),드라마 / OST,지니뮤직,Stone Music Entertainment,2020.01.12
6,20200201,마음을 드려요,7,사랑의 불시착 OST Part 11 (tvN 토일 드라마),아이유 (IU),드라마 / OST,카카오엔터테인먼트,EDAM엔터테인먼트,2020.02.15
7,20200201,둘만의 세상으로 가,8,사랑의 불시착 OST Part 10 (tvN 토일 드라마),Crush,드라마 / OST,지니뮤직,Stone Music Entertainment,2020.02.09
8,20200201,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,9,멜로가 체질 OST Part 3 (JTBC 금토 드라마),장범준,드라마 / OST,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, 삼화네트웍스",2019.08.23
9,20200201,HIP,10,reality in BLACK,마마무(Mamamoo),댄스 / 가요,카카오엔터테인먼트,(주)RBW,2019.11.14
10,20200201,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",11,항해,AKMU (악뮤),락 / 가요,YG PLUS,(주)YG엔터테인먼트,2019.09.25
11,20200201,안녕,12,안녕,김재환,발라드 / 가요,"지니뮤직, Stone Music Entertainment",스윙엔터테인먼트,2020.02.02
12,20200201,잘 지내고 있는지 궁금해,13,잘 지내고 있는지 궁금해,V.O.S,발라드 / 가요,카카오엔터테인먼트,J-SOUL company,2020.02.09
13,20200201,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),14,Red Moon : To You My Light,마크툽 (Maktub),인디 / 가요,워너뮤직,(주)MAKTUB Company,2019.06.09
14,20200201,어떤 날엔,15,사랑의 불시착 OST Part 5 (tvN 토일 드라마),김재환,드라마 / OST,지니뮤직,Stone Music Entertainment,2020.01.19
15,20200201,Love poem,16,Love poem,아이유 (IU),락 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2019.11.18
