,chart,title,rank,album,artist,genre,publisher,agency,date
0,20210301,롤린 (Rollin'),1,Rollin',브레이브걸스 (Brave girls),댄스 / 가요,㈜음악형제들,브레이브엔터테인먼트 (BRAVE ENTERTAINMENT),2017.03.07
1,20210301,Celebrity,2,IU 5th Album 'LILAC',아이유 (IU),댄스 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2021.03.25
2,20210301,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",3,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭 & 정은지,댄스 / 가요,카카오엔터테인먼트,"TOON STUDIO, 느을",2021.03.05
3,20210301,Don't Call Me,4,Don't Call Me - The 7th Album,SHINee (샤이니),댄스 / 가요,Dreamus,SM ENTERTAINMENT,2021.02.22
4,20210301,PARANOIA,5,PARANOIA,강다니엘,R&B/소울 / 가요,Sony Music,KONNECT ENTERTAINMENT,2021.02.16
5,20210301,On The Ground,6,R,로제 (ROSE),락 / 가요,YG PLUS,YG엔터테인먼트,2021.03.12
6,20210301,Dynamite,7,Dynamite (DayTime Ver.),방탄소년단,댄스 / 가요,YG PLUS,BIGHIT MUSIC,2020.08.21
7,20210301,내 손을 잡아,8,최고의 사랑 OST Part.4 (MBC 수목드라마),아이유 (IU),드라마 / OST,카카오엔터테인먼트,더그루브엔터테인먼트 (더그루브컴퍼니),2011.05.25
8,20210301,좋은 이별이 있을 리가 없잖아 (Feat. 조현아 of 어반자카파),9,FLOWER 9,MC몽,랩/힙합 / 가요,카카오엔터테인먼트,(주)밀리언마켓,2021.03.02
9,20210301,밝게 빛나는 별이 되어 비춰줄게,10,밝게 빛나는 별이 되어 비춰줄게,송이한,인디 / 가요,카카오엔터테인먼트,㈜뮤직디자인,2020.12.29
10,20210301,Beautiful Beautiful,11,ONF: MY NAME,온앤오프 (ONF),댄스 / 가요,"지니뮤직, Stone Music Entertainment",WM엔터테인먼트,2021.02.24
11,20210301,밤하늘의 별을 (2020),12,밤하늘의 별을 (2020),경서,인디 / 가요,카카오엔터테인먼트,꿈의 엔진,2020.11.14
12,20210301,라일락,13,IU 5th Album 'LILAC',아이유 (IU),댄스 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2021.03.25
13,20210301,At My Worst,14,The Prelude,Pink Sweat$,R&B/소울 / POP,워너뮤직,Atlantic Records,2020.07.17
14,20210301,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),15,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,발라드 / 가요,카카오엔터테인먼트,"TOON STUDIO, 느을",2021.01.24
15,20210301,VVS (Feat. JUSTHIS) (Prod. by GroovyRoom),16,쇼미더머니 9 Episode 1,Various Artists,랩/힙합 / 가요,지니뮤직,Stone Music Entertainment,2020.11.21
16,20210301,잠이 오질 않네요,17,잠이 오질 않네요,장범준,발라드 / 가요,카카오엔터테인먼트,㈜버스커버스커,2020.10.24
17,20210301,우린 어쩌다 헤어진 걸까,18,Hello,허각,발라드 / 가요,카카오엔터테인먼트,㈜플레이엠엔터테인먼트,2020.12.28
18,20210301,고백 (바른연애 길잡이 X 허각),19,고백 (바른연애 길잡이 X 허각),허각,발라드 / 가요,카카오엔터테인먼트,"TOON STUDIO, 느을",2021.02.04
19,20210301,Blueming,20,Love poem,아이유 (IU),락 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2019.11.18
20,20210301,오늘도 난 봄을 기다려,21,비밀 : 리에 Vol.2 ''오늘도 난 봄을 기다려'',케이시 (Kassy),발라드 / 가요,Dreamus,"Dreamus, WHYNOT MEDIA",2021.02.18
21,20210301,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,22,멜로가 체질 OST Part 3 (JTBC 금토 드라마),장범준,드라마 / OST,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, 삼화네트웍스",2019.08.23
