,chart,title,rank,album,artist,genre,publisher,agency,date
0,20210101,우린 어쩌다 헤어진 걸까,1,Hello,허각,발라드 / 가요,카카오엔터테인먼트,㈜플레이엠엔터테인먼트,2020.12.28
1,20210101,VVS (Feat. JUSTHIS) (Prod. by GroovyRoom),2,쇼미더머니 9 Episode 1,Various Artists,랩/힙합 / 가요,지니뮤직,Stone Music Entertainment,2020.11.21
2,20210101,Dynamite,3,Dynamite (DayTime Ver.),방탄소년단,댄스 / 가요,YG PLUS,BIGHIT MUSIC,2020.08.21
3,20210101,밤하늘의 별을 (2020),4,밤하늘의 별을 (2020),경서,인디 / 가요,카카오엔터테인먼트,꿈의 엔진,2020.11.14
4,20210101,요즘,5,요즘,양다일,발라드 / 가요,카카오엔터테인먼트,브랜뉴뮤직 (Brand New Music),2020.12.29
5,20210101,Your Lights,6,Your Lights (바이크 원정대 OST Part.1),이수 (엠씨더맥스),전체 / OST,NHN벅스,(주)도너츠컬처,2021.01.07
6,20210101,잠이 오질 않네요,7,잠이 오질 않네요,장범준,발라드 / 가요,카카오엔터테인먼트,㈜버스커버스커,2020.10.24
7,20210101,화(火花),8,I burn,(여자)아이들,댄스 / 가요,카카오엔터테인먼트,큐브 엔터테인먼트,2021.01.11
8,20210101,나로 바꾸자 (Duet With JYP),9,나로 바꾸자,비,댄스 / 가요,카카오엔터테인먼트,"써브라임 아티스트 에이전시, (주)JYP엔터테인먼트",2020.12.31
9,20210101,Life Goes On,10,BE,방탄소년단,랩/힙합 / 가요,YG PLUS,BIGHIT MUSIC,2020.11.20
10,20210101,Lovesick Girls,11,THE ALBUM,BLACKPINK,댄스 / 가요,YG PLUS,(주)YG엔터테인먼트,2020.10.02
11,20210101,What Do I Call You,12,What Do I Call You - The 4th Mini Album,태연 (TAEYEON),R&B/소울 / 가요,Dreamus,SM ENTERTAINMENT,2020.12.15
12,20210101,취기를 빌려 (취향저격 그녀 X 산들),13,취기를 빌려 (취향저격 그녀 X 산들),산들,인디 / 가요,카카오엔터테인먼트,TOON STUDIO,2020.07.20
13,20210101,Rosario (Feat. CL & ZICO),14,Epik High Is Here 上,에픽하이 (EPIK HIGH),랩/힙합 / 가요,카카오엔터테인먼트,OURS Co.,2021.01.18
14,20210101,힘든 건 사랑이 아니다,15,힘든 건 사랑이 아니다,임창정,발라드 / 가요,㈜인터파크,㈜예스아이엠엔터테인먼트,2020.10.19
