,chart,title,rank,album,artist,genre,publisher,agency,date
0,20210801,신호등,1,신호등,이무진,락 / 가요,카카오엔터테인먼트,쇼플레이엔터테인먼트,2021.05.14
1,20210801,낙하 (With 아이유),2,NEXT EPISODE,AKMU (악뮤),락 / 가요,YG PLUS,YG Entertainment,2021.07.26
2,20210801,바라만 본다,3,MSG워너비 1집,MSG워너비,발라드 / 가요,"지니뮤직, Stone Music Entertainment",유야호,2021.06.26
3,20210801,Next Level,4,Next Level,aespa,댄스 / 가요,Dreamus,SM ENTERTAINMENT,2021.05.17
4,20210801,Weekend,5,Weekend,태연 (TAEYEON),댄스 / 가요,Dreamus,SM ENTERTAINMENT,2021.07.06
5,20210801,Permission to Dance,6,Butter / Permission to Dance,방탄소년단,댄스 / 가요,YG PLUS,BIGHIT MUSIC,2021.07.09
6,20210801,OHAYO MY NIGHT,7,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO (파테코),랩/힙합 / 가요,YG PLUS,NEOKIDZ,2020.06.20
7,20210801,좋아좋아,8,슬기로운 의사생활 시즌2 OST Part 5 (tvN 목요드라마),조정석,드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2021.07.16
8,20210801,Stay,9,Stay,The Kid LAROI & Justin Bieber,팝 / POP,Sony Music,Columbia,2021.07.09
9,20210801,Butter,10,Butter,방탄소년단,댄스 / 가요,YG PLUS,BIGHIT MUSIC,2021.05.21
10,20210801,Bad Habits,11,Shivers,Ed Sheeran,팝 / POP,워너뮤직,Atlantic Records UK,2021.09.10
11,20210801,비와 당신,12,슬기로운 의사생활 시즌2 OST Part 1 (tvN 목요드라마),이무진,드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2021.06.18
12,20210801,Peaches (Feat. Daniel Caesar & Giveon),13,Justice,Justin Bieber,팝 / POP,Universal Music,"Def Jam Recordings, a division of UMG Recordings, Inc",2021.03.19
13,20210801,헤픈 우연,14,HAPPEN,헤이즈 (Heize),R&B/소울 / 가요,"지니뮤직, Stone Music Entertainment",피네이션,2021.05.20
14,20210801,롤린 (Rollin'),15,Rollin',브레이브걸스 (Brave girls),댄스 / 가요,㈜음악형제들,브레이브엔터테인먼트 (BRAVE ENTERTAINMENT),2017.03.07
15,20210801,비가 오는 날엔 (2021),16,비가 오는 날엔 (2021),헤이즈 (Heize),드라마 / OST,"지니뮤직, Stone Music Entertainment",PLAYLIST,2021.08.04
16,20210801,치맛바람 (Chi Mat Ba Ram),17,Summer Queen,브레이브걸스 (Brave girls),댄스 / 가요,카카오엔터테인먼트,㈜브레이브엔터테인먼트,2021.06.17
17,20210801,Dynamite,18,Dynamite (DayTime Ver.),방탄소년단,댄스 / 가요,YG PLUS,BIGHIT MUSIC,2020.08.21
18,20210801,라일락,19,IU 5th Album 'LILAC',아이유 (IU),댄스 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2021.03.25
19,20210801,하루만 더,20,하루만 더,빅마마 (Big Mama),발라드 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2021.06.24
20,20210801,Dun Dun Dance,21,Dear OHMYGIRL,오마이걸 (OH MY GIRL),전체 / 가요,Sony Music,WM Entertainment,2021.05.10
21,20210801,Queendom,22,Queendom - The 6th Mini Album,Red Velvet (레드벨벳),댄스 / 가요,Dreamus,SM ENTERTAINMENT,2021.08.16
22,20210801,DUMB DUMB,23,DUMB DUMB,전소미,댄스 / 가요,YG PLUS,더블랙레이블,2021.08.02
23,20210801,Celebrity,24,IU 5th Album 'LILAC',아이유 (IU),댄스 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2021.03.25
24,20210801,비 오는 날 듣기 좋은 노래 (Feat. Colde),25,비 오는 날 듣기 좋은 노래,에픽하이 (EPIK HIGH),랩/힙합 / 가요,지니뮤직,(주)아워즈,2021.06.29
25,20210801,고백,26,두 번째 '고백',10CM,락 / 가요,카카오엔터테인먼트,"카카오엔터테인먼트, 매직스트로베리사운드",2021.08.08
26,20210801,Alcohol-Free,27,Taste of Love,TWICE (트와이스),댄스 / 가요,Dreamus,(주)JYP엔터테인먼트,2021.06.11
27,20210801,다정히 내 이름을 부르면,28,다정히 내 이름을 부르면 (경서예지 x 전건호),경서예지 & 전건호,발라드 / 가요,카카오엔터테인먼트,에버그로우,2021.05.19
28,20210801,운전만해 (We Ride),29,We Ride,브레이브걸스 (Brave girls),댄스 / 가요,카카오엔터테인먼트,㈜브레이브엔터테인먼트,2020.08.14
29,20210801,안녕 (Hello),30,안녕 (Hello) - Special Album,조이 (JOY),락 / 가요,Dreamus,SM ENTERTAINMENT,2021.05.31
30,20210801,나를 아는 사람,31,MSG워너비 1집,MSG워너비,발라드 / 가요,"지니뮤직, Stone Music Entertainment",유야호,2021.06.26
31,20210801,Timeless,32,Wanna Be＋,SG워너비,발라드 / 가요,지니뮤직,Stone Music Entertainment,2004.01.19
32,20210801,Savage Love (Laxed - Siren Beat) (BTS Remix),33,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685 & Jason Derulo & 방탄소년단,팝 / POP,Sony Music,Columbia,2020.10.02
33,20210801,상상더하기,34,Fresh Adventure,라붐 (LABOUM),댄스 / 가요,㈜인터파크,주식회사 글로벌에이치미디어 (GLOBAL H),2016.04.06
34,20210801,추적이는 여름 비가 되어,35,장범준 싱글,장범준,발라드 / 가요,카카오엔터테인먼트,㈜버스커버스커,2021.06.11
35,20210801,ASAP,36,STAYDOM,STAYC (스테이씨),댄스 / 가요,카카오엔터테인먼트,HIGHUP ENTERTAINMENT,2021.04.08
36,20210801,내 손을 잡아,37,최고의 사랑 OST Part.4 (MBC 수목드라마),아이유 (IU),드라마 / OST,카카오엔터테인먼트,더그루브엔터테인먼트 (더그루브컴퍼니),2011.05.25
37,20210801,사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco),38,사이렌 Remix,호미들,랩/힙합 / 가요,카카오엔터테인먼트,영앤리치 레코즈,2021.03.20
38,20210801,아로하,39,슬기로운 의사생활 OST Part 3 (tvN 목요드라마),조정석,드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2020.03.27
39,20210801,가을 우체국 앞에서,40,슬기로운 의사생활 시즌2 OST Part 2 (tvN 목요드라마),김대명,드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2021.06.25
40,20210801,At My Worst,41,The Prelude,Pink Sweat$,R&B/소울 / POP,워너뮤직,Atlantic Records,2020.07.17
41,20210801,상상더하기,42,MSG워너비 TOP 8 경연곡,MSG워너비,댄스 / 가요,"지니뮤직, Stone Music Entertainment",(주)문화방송,2021.05.22
42,20210801,2002,43,Speak Your Mind (Deluxe),Anne-Marie,팝 / POP,워너뮤직,Atlantic Records UK,2018.08.03
43,20210801,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),44,MAP OF THE SOUL : PERSONA,방탄소년단,랩/힙합 / 가요,YG PLUS,BIGHIT MUSIC,2019.04.12
44,20210801,Blueming,45,Love poem,아이유 (IU),락 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2019.11.18
45,20210801,Off My Face,46,Justice,Justin Bieber,팝 / POP,Universal Music,"Def Jam Recordings, a division of UMG Recordings, Inc",2021.03.19
46,20210801,밝게 빛나는 별이 되어 비춰줄게,47,밝게 빛나는 별이 되어 비춰줄게,송이한,인디 / 가요,카카오엔터테인먼트,㈜뮤직디자인,2020.12.29
47,20210801,슈퍼스타,48,슬기로운 의사생활 시즌2 OST Part 6 (tvN 목요드라마),미도와 파라솔,드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2021.07.23
48,20210801,이제 나만 믿어요,49,내일은 미스터트롯 우승자 특전곡,임영웅,트로트 / 가요,카카오엔터테인먼트,TV CHOSUN,2020.04.03
49,20210801,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,50,멜로가 체질 OST Part 3 (JTBC 금토 드라마),장범준,드라마 / OST,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, 삼화네트웍스",2019.08.23
50,20210801,에잇 (Prod. & Feat. SUGA of BTS),51,에잇,아이유 (IU),락 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2020.05.06
51,20210801,어푸 (Ah puh),52,IU 5th Album 'LILAC',아이유 (IU),댄스 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2021.03.25
52,20210801,멜로디,53,멜로디,ASH ISLAND,랩/힙합 / 가요,"지니뮤직, Stone Music Entertainment",앰비션뮤직,2021.02.25
53,20210801,12 : 45 (Stripped),54,12 : 45 (Stripped),Etham,팝 / POP,Universal Music,Closer Recordings Limited,2018.10.26
54,20210801,"모든 날, 모든 순간 (Every day, Every Moment)",55,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마),폴킴,드라마 / OST,Dreamus,SM ENTERTAINMENT,2018.03.20
55,20210801,밤하늘의 별을 (2020),56,밤하늘의 별을 (2020),경서,인디 / 가요,카카오엔터테인먼트,꿈의 엔진,2020.11.14
56,20210801,이젠 잊기로 해요 (Drama Ver.),57,슬기로운 의사생활 시즌2 OST Special (tvN 목요드라마),미도와 파라솔,드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2021.07.30
57,20210801,METEOR,58,Boyhood,창모 (CHANGMO),랩/힙합 / 가요,"지니뮤직, Stone Music Entertainment",Ambition Musik,2019.11.29
58,20210801,러브 (Prod. by 로코베리),59,Love (Prod. by Rocoberry),로꼬 & 이성경,랩/힙합 / 가요,카카오엔터테인먼트,"하얀달 엔터테인먼트, 딩고뮤직",2021.07.04
59,20210801,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",60,항해,AKMU (악뮤),락 / 가요,YG PLUS,(주)YG엔터테인먼트,2019.09.25
60,20210801,Lovesick Girls,61,THE ALBUM,BLACKPINK,댄스 / 가요,YG PLUS,(주)YG엔터테인먼트,2020.10.02
61,20210801,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",62,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭 & 정은지,댄스 / 가요,카카오엔터테인먼트,"TOON STUDIO, 느을",2021.03.05
62,20210801,사진을 보다가,63,사진을 보다가 (REVIBE Vol.2),다비치,발라드 / 가요,지니뮤직,메이저나인,2021.08.18
63,20210801,밤이 되니까,64,밤이 되니까,원슈타인,R&B/소울 / 가요,"지니뮤직, Stone Music Entertainment",냠냠엔터테인먼트,2021.07.07
64,20210801,Dolphin,65,NONSTOP,오마이걸 (OH MY GIRL),댄스 / 가요,Sony Music,WM엔터테인먼트,2020.04.27
65,20210801,나는 너 좋아,66,슬기로운 의사생활 시즌2 OST Part 3 (tvN 목요드라마),장범준,드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2021.07.02
66,20210801,라라라,67,My Friend,SG워너비,발라드 / 가요,지니뮤직,Stone Music Entertainment,2008.04.24
67,20210801,넌 좋은 사람,68,넌 좋은 사람,SG워너비,발라드 / 가요,카카오엔터테인먼트,"C9 ENTERTAINMENT, 더블에이치티엔이, 목소리",2021.07.16
68,20210801,Kiss Me More (Feat. SZA),69,Kiss Me More,Doja Cat,팝 / POP,Sony Music,"Kemosabe Records, RCA Records",2021.04.09
69,20210801,오래된 노래,70,오래된 노래,Standing Egg (스탠딩 에그),발라드 / 가요,카카오엔터테인먼트,본(born),2012.09.04
70,20210801,잠이 오질 않네요,71,잠이 오질 않네요,장범준,발라드 / 가요,카카오엔터테인먼트,㈜버스커버스커,2020.10.24
71,20210801,VVS (Feat. JUSTHIS) (Prod. by GroovyRoom),72,쇼미더머니 9 Episode 1,Various Artists,랩/힙합 / 가요,지니뮤직,Stone Music Entertainment,2020.11.21
72,20210801,취기를 빌려 (취향저격 그녀 X 산들),73,취기를 빌려 (취향저격 그녀 X 산들),산들,인디 / 가요,카카오엔터테인먼트,TOON STUDIO,2020.07.20
73,20210801,Coin,74,IU 5th Album 'LILAC',아이유 (IU),댄스 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2021.03.25
74,20210801,Life Goes On,75,BE,방탄소년단,랩/힙합 / 가요,YG PLUS,BIGHIT MUSIC,2020.11.20
75,20210801,봄날,76,YOU NEVER WALK ALONE,방탄소년단,댄스 / 가요,YG PLUS,BIGHIT MUSIC,2017.02.13
76,20210801,Leave The Door Open,77,Skate,Bruno Mars & Anderson .Paak & Silk Sonic,R&B/소울 / POP,워너뮤직,"Aftermath Entertainment, Atlantic",2021.07.30
