,chart,title,rank,album,artist,genre,publisher,agency,date
0,20200801,다시 여기 바닷가,1,다시 여기 바닷가,싹쓰리 (유두래곤 & 린다G & 비룡),댄스 / 가요,카카오엔터테인먼트,MBC (문화방송),2020.07.18
1,20200801,눈누난나 (NUNU NANA),2,NUNA,제시,랩/힙합 / 가요,카카오엔터테인먼트,피네이션,2020.07.30
2,20200801,그 여름을 틀어줘,3,그 여름을 틀어줘,싹쓰리 (유두래곤 & 린다G & 비룡),댄스 / 가요,카카오엔터테인먼트,MBC (문화방송),2020.07.25
3,20200801,LINDA (Feat. 윤미래),4,두리쥬와 X LINDA X 신난다,싹쓰리 (유두래곤 & 린다G & 비룡),댄스 / 가요,카카오엔터테인먼트,MBC (문화방송),2020.08.01
4,20200801,마리아 (Maria),5,Maria,화사 (Hwa Sa),댄스 / 가요,카카오엔터테인먼트,(주)RBW,2020.06.29
5,20200801,신난다 (Feat. 마마무),6,두리쥬와 X LINDA X 신난다,싹쓰리 (유두래곤 & 린다G & 비룡),댄스 / 가요,카카오엔터테인먼트,MBC (문화방송),2020.08.01
6,20200801,How You Like That,7,How You Like That,BLACKPINK,댄스 / 가요,YG PLUS,(주)YG엔터테인먼트,2020.06.26
7,20200801,홀로,8,홀로,이하이,R&B/소울 / 가요,"지니뮤직, Stone Music Entertainment",AOMG,2020.07.23
8,20200801,When We Disco (Duet With 선미),9,When We Disco,박진영,댄스 / 가요,Dreamus,(주)JYP엔터테인먼트,2020.08.12
9,20200801,아틀란티스 소녀 (Atlantis Princess),10,Our Beloved BoA #2 - SM STATION,볼빨간사춘기,댄스 / 가요,Dreamus,SM ENTERTAINMENT,2020.08.07
10,20200801,취기를 빌려 (취향저격 그녀 X 산들),11,취기를 빌려 (취향저격 그녀 X 산들),산들,인디 / 가요,카카오엔터테인먼트,TOON STUDIO,2020.07.20
11,20200801,덤디덤디 (DUMDi DUMDi),12,덤디덤디 (DUMDi DUMDi),(여자)아이들,댄스 / 가요,카카오엔터테인먼트,큐브 엔터테인먼트,2020.08.03
12,20200801,Summer Hate (Feat. 비),13,RANDOM BOX,지코 (ZICO),랩/힙합 / 가요,카카오엔터테인먼트,KOZ 엔터테인먼트,2020.07.01
13,20200801,여름 안에서 (Feat. 황광희),14,여름 안에서,싹쓰리 (유두래곤 & 린다G & 비룡),댄스 / 가요,카카오엔터테인먼트,MBC (문화방송),2020.07.11
14,20200801,에잇 (Prod. & Feat. SUGA of BTS),15,에잇,아이유 (IU),락 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2020.05.06
15,20200801,Dolphin,16,NONSTOP,오마이걸 (OH MY GIRL),댄스 / 가요,Sony Music,WM엔터테인먼트,2020.04.27
16,20200801,Downtown Baby,17,Downtown Baby,블루 (BLOO),랩/힙합 / 가요,워너뮤직,UNCUTPOINT,2017.12.06
17,20200801,아로하,18,슬기로운 의사생활 OST Part 3 (tvN 목요드라마),조정석,드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2020.03.27
18,20200801,Dynamite,19,Dynamite (DayTime Ver.),방탄소년단,댄스 / 가요,YG PLUS,BIGHIT MUSIC,2020.08.21
19,20200801,보라빛 밤 (pporappippam),20,보라빛 밤 (pporappippam),선미,댄스 / 가요,카카오엔터테인먼트,(주)메이크어스엔터테인먼트,2020.06.29
20,20200801,살짝 설렜어 (Nonstop),21,NONSTOP,오마이걸 (OH MY GIRL),댄스 / 가요,Sony Music,WM엔터테인먼트,2020.04.27
21,20200801,PLAY (Feat. 창모),22,PLAY,청하,댄스 / 가요,"지니뮤직, Stone Music Entertainment",MNH Entertainment,2020.07.06
22,20200801,Not Shy,23,Not Shy,ITZY (있지),댄스 / 가요,Dreamus,(주)JYP엔터테인먼트,2020.08.17
23,20200801,오래된 노래,24,오래된 노래,Standing Egg (스탠딩 에그),발라드 / 가요,카카오엔터테인먼트,본(born),2012.09.04
24,20200801,Dance Monkey,25,The Kids Are Coming,Tones And I,락 / POP,워너뮤직,Elektra (NEK),2019.08.30
25,20200801,사랑하게 될 줄 알았어,26,슬기로운 의사생활 OST Part 11 (tvN 목요드라마),우효 & 전미도,드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2020.05.22
26,20200801,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,27,멜로가 체질 OST Part 3 (JTBC 금토 드라마),장범준,드라마 / OST,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, 삼화네트웍스",2019.08.23
27,20200801,어떻게 지내 (Prod. by VAN.C),28,어떻게 지내,오반 (OVAN),인디 / 가요,카카오엔터테인먼트,로맨틱팩토리,2020.03.05
28,20200801,Blueming,29,Love poem,아이유 (IU),락 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2019.11.18
29,20200801,METEOR,30,Boyhood,창모 (CHANGMO),랩/힙합 / 가요,"지니뮤직, Stone Music Entertainment",Ambition Musik,2019.11.29
30,20200801,두리쥬와 (Feat. S.B.N),31,두리쥬와 X LINDA X 신난다,싹쓰리 (유두래곤 & 린다G & 비룡),댄스 / 가요,카카오엔터테인먼트,MBC (문화방송),2020.08.01
31,20200801,Don't Start Now,32,Future Nostalgia,Dua Lipa,팝 / POP,워너뮤직,Warner Records,2020.03.27
32,20200801,아직 너의 시간에 살아,33,사이코지만 괜찮아 OST Part.4 (tvN 토일드라마),이수현,드라마 / OST,NHN벅스,모스트콘텐츠,2020.07.12
33,20200801,Into the I-LAND,34,I-LAND Part.1 Signal Song,아이유 (IU),댄스 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2020.06.19
34,20200801,Memories,35,Memories,Maroon 5,팝 / POP,Universal Music,Interscope Records (222 Records),2019.09.20
35,20200801,아무노래,36,아무노래,지코 (ZICO),랩/힙합 / 가요,카카오엔터테인먼트,KOZ 엔터테인먼트,2020.01.13
36,20200801,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),37,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),발라드 / 가요,카카오엔터테인먼트,"TOON STUDIO, 느을",2020.08.23
37,20200801,2002,38,Speak Your Mind (Deluxe),Anne-Marie,팝 / POP,워너뮤직,Atlantic Records UK,2018.08.03
38,20200801,늦은 밤 너의 집 앞 골목길에서,39,늦은 밤 너의 집 앞 골목길에서,노을,발라드 / 가요,카카오엔터테인먼트,씨제스 엔터테인먼트 (C-JeS Entertainment),2019.11.07
