,chart,title,rank,album,artist,genre,publisher,agency,date
0,20210401,라일락,1,IU 5th Album 'LILAC',아이유 (IU),댄스 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2021.03.25
1,20210401,롤린 (Rollin'),2,Rollin',브레이브걸스 (Brave girls),댄스 / 가요,㈜음악형제들,브레이브엔터테인먼트 (BRAVE ENTERTAINMENT),2017.03.07
2,20210401,Peaches (Feat. Daniel Caesar & Giveon),3,Justice,Justin Bieber,팝 / POP,Universal Music,"Def Jam Recordings, a division of UMG Recordings, Inc",2021.03.19
3,20210401,Celebrity,4,IU 5th Album 'LILAC',아이유 (IU),댄스 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2021.03.25
4,20210401,운전만해 (We Ride),5,We Ride,브레이브걸스 (Brave girls),댄스 / 가요,카카오엔터테인먼트,㈜브레이브엔터테인먼트,2020.08.14
5,20210401,Antidote,6,YELLOW,강다니엘,R&B/소울 / 가요,Sony Music,KONNECT ENTERTAINMENT,2021.04.13
6,20210401,Coin,7,IU 5th Album 'LILAC',아이유 (IU),댄스 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2021.03.25
7,20210401,Timeless,8,Wanna Be＋,SG워너비,발라드 / 가요,지니뮤직,Stone Music Entertainment,2004.01.19
8,20210401,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",9,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭 & 정은지,댄스 / 가요,카카오엔터테인먼트,"TOON STUDIO, 느을",2021.03.05
9,20210401,On The Ground,10,R,로제 (ROSE),락 / 가요,YG PLUS,YG엔터테인먼트,2021.03.12
10,20210401,내 손을 잡아,11,최고의 사랑 OST Part.4 (MBC 수목드라마),아이유 (IU),드라마 / OST,카카오엔터테인먼트,더그루브엔터테인먼트 (더그루브컴퍼니),2011.05.25
