,chart,title,rank,album,artist,genre,publisher,agency,date
0,20200601,에잇 (Prod. & Feat. SUGA of BTS),1,에잇,아이유 (IU),락 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2020.05.06
1,20200601,MORE & MORE,2,MORE & MORE,TWICE (트와이스),댄스 / 가요,Dreamus,(주)JYP엔터테인먼트,2020.06.01
2,20200601,아로하,3,슬기로운 의사생활 OST Part 3 (tvN 목요드라마),조정석,드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2020.03.27
3,20200601,사랑하게 될 줄 알았어,4,슬기로운 의사생활 OST Part 11 (tvN 목요드라마),우효 & 전미도,드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2020.05.22
4,20200601,Downtown Baby,5,Downtown Baby,블루 (BLOO),랩/힙합 / 가요,워너뮤직,UNCUTPOINT,2017.12.06
5,20200601,살짝 설렜어 (Nonstop),6,NONSTOP,오마이걸 (OH MY GIRL),댄스 / 가요,Sony Music,WM엔터테인먼트,2020.04.27
6,20200601,"너에게 난, 나에게 넌",7,슬기로운 의사생활 OST Part 12 (tvN 목요드라마),미도와 파라솔,드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2020.05.29
7,20200601,깡 Official Remix,8,깡 Official Remix,식케이 (Sik-K) & pH-1 & 박재범 & 김하온 (HAON),랩/힙합 / 가요,"지니뮤직, Stone Music Entertainment",H1GHR MUSIC,2020.06.04
8,20200601,Dolphin,9,NONSTOP,오마이걸 (OH MY GIRL),댄스 / 가요,Sony Music,WM엔터테인먼트,2020.04.27
9,20200601,나비와 고양이 (Feat. 백현 (BAEKHYUN)),10,사춘기집Ⅱ 꽃 본 나비,볼빨간사춘기,인디 / 가요,카카오엔터테인먼트,쇼파르뮤직,2020.05.13
10,20200601,Don't Start Now,11,Future Nostalgia,Dua Lipa,팝 / POP,워너뮤직,Warner Records,2020.03.27
11,20200601,작사가,12,Lyricist,헤이즈 (Heize),R&B/소울 / 가요,지니뮤직,"Studio blu, Stone Music Entertainment",2020.06.10
12,20200601,좋은 사람 있으면 소개시켜줘,13,슬기로운 의사생활 OST Part 2 (tvN 목요드라마),조이 (JOY),드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2020.03.20
13,20200601,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,14,멜로가 체질 OST Part 3 (JTBC 금토 드라마),장범준,드라마 / OST,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, 삼화네트웍스",2019.08.23
14,20200601,어떻게 지내 (Prod. by VAN.C),15,어떻게 지내,오반 (OVAN),인디 / 가요,카카오엔터테인먼트,로맨틱팩토리,2020.03.05
15,20200601,아무노래,16,아무노래,지코 (ZICO),랩/힙합 / 가요,카카오엔터테인먼트,KOZ 엔터테인먼트,2020.01.13
16,20200601,Blueming,17,Love poem,아이유 (IU),락 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2019.11.18
17,20200601,시작,18,이태원 클라쓰 OST Part.2 (JTBC 금토드라마),가호 (Gaho),드라마 / OST,주식회사 블렌딩,㈜블렌딩,2020.02.01
18,20200601,Into the I-LAND,19,I-LAND Part.1 Signal Song,아이유 (IU),댄스 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2020.06.19
19,20200601,내 눈물 모아,20,슬기로운 의사생활 OST Part 8 (tvN 목요드라마),휘인 (Whee In),드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2020.05.01
20,20200601,METEOR,21,Boyhood,창모 (CHANGMO),랩/힙합 / 가요,"지니뮤직, Stone Music Entertainment",Ambition Musik,2019.11.29
21,20200601,Memories,22,Memories,Maroon 5,팝 / POP,Universal Music,Interscope Records (222 Records),2019.09.20
22,20200601,썸 타긴 뭘 타,23,썸 타긴 뭘 타,백아연,R&B/소울 / 가요,카카오엔터테인먼트,이든 엔터테인먼트,2020.06.16
23,20200601,화려하지 않은 고백,24,슬기로운 의사생활 OST Part 4 (tvN 목요드라마),규현 (KYUHYUN),드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2020.04.03
24,20200601,품,25,사춘기집Ⅱ 꽃 본 나비,볼빨간사춘기,인디 / 가요,카카오엔터테인먼트,쇼파르뮤직,2020.05.13
25,20200601,Dance Monkey,26,The Kids Are Coming,Tones And I,락 / POP,워너뮤직,Elektra (NEK),2019.08.30
26,20200601,처음처럼,27,CEREMONIA,엠씨더맥스 (M.C the MAX),발라드 / 가요,카카오엔터테인먼트,325 이엔씨,2020.03.25
27,20200601,취했나봐,28,취했나봐,황인욱,발라드 / 가요,NHN벅스,하우엔터테인먼트,2020.05.24
28,20200601,덤더럼 (Dumhdurum),29,LOOK,Apink (에이핑크),댄스 / 가요,카카오엔터테인먼트,㈜플레이엠엔터테인먼트,2020.04.13
29,20200601,2002,30,Speak Your Mind (Deluxe),Anne-Marie,팝 / POP,워너뮤직,Atlantic Records UK,2018.08.03
30,20200601,어떻게 지내 (답가),31,어떻게 지내 (답가),런치,인디 / 가요,카카오엔터테인먼트,주식회사 레시피뮤직,2020.06.06
31,20200601,늦은 밤 너의 집 앞 골목길에서,32,늦은 밤 너의 집 앞 골목길에서,노을,발라드 / 가요,카카오엔터테인먼트,씨제스 엔터테인먼트 (C-JeS Entertainment),2019.11.07
32,20200601,언제라도 어디에서라도,33,언제라도 어디에서라도,정승환,발라드 / 가요,카카오엔터테인먼트,안테나,2020.06.17
33,20200601,일이 너무 잘 돼,34,Lyricist,헤이즈 (Heize),R&B/소울 / 가요,지니뮤직,"Studio blu, Stone Music Entertainment",2020.06.10
34,20200601,Happy,35,Happy,태연 (TAEYEON),R&B/소울 / 가요,Dreamus,SM ENTERTAINMENT,2020.05.04
35,20200601,Psycho,36,'The ReVe Festival' Finale,Red Velvet (레드벨벳),댄스 / 가요,Dreamus,SM ENTERTAINMENT,2019.12.23
36,20200601,그대 고운 내사랑,37,슬기로운 의사생활 OST Part 5 (tvN 목요드라마),어반자카파,드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2020.04.10
37,20200601,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),38,Red Moon : To You My Light,마크툽 (Maktub),인디 / 가요,워너뮤직,(주)MAKTUB Company,2019.06.09
38,20200601,돌덩이,39,이태원 클라쓰 OST Part.3 (JTBC 금토드라마),하현우 (국카스텐),드라마 / OST,주식회사 블렌딩,㈜블렌딩,2020.02.07
39,20200601,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",40,항해,AKMU (악뮤),락 / 가요,YG PLUS,(주)YG엔터테인먼트,2019.09.25
40,20200601,WANNABE,41,IT'z ME,ITZY (있지),댄스 / 가요,Dreamus,(주)JYP엔터테인먼트,2020.03.09
41,20200601,마음을 드려요,42,사랑의 불시착 OST Part 11 (tvN 토일 드라마),아이유 (IU),드라마 / OST,카카오엔터테인먼트,EDAM엔터테인먼트,2020.02.15
42,20200601,Maniac,43,Maniac,Conan Gray,팝 / POP,Universal Music,Republic Records a division of UMG Recordings Inc,2019.10.25
43,20200601,살아가는 거야,44,살아가는 거야,로이킴,발라드 / 가요,지니뮤직,WAKEONE,2020.05.27
44,20200601,How You Like That,45,How You Like That,BLACKPINK,댄스 / 가요,YG PLUS,(주)YG엔터테인먼트,2020.06.26
45,20200601,"모든 날, 모든 순간 (Every day, Every Moment)",46,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마),폴킴,드라마 / OST,Dreamus,SM ENTERTAINMENT,2018.03.20
46,20200601,HIP,47,reality in BLACK,마마무(Mamamoo),댄스 / 가요,카카오엔터테인먼트,(주)RBW,2019.11.14
47,20200601,자나깨나 (Feat. 조이 of Red Velvet),48,homemade 1,Crush,R&B/소울 / 가요,Dreamus,피네이션,2020.05.20
48,20200601,환상동화 (Secret Story of the Swan),49,Oneiric Diary (幻想日記),IZ*ONE (아이즈원),댄스 / 가요,"지니뮤직, Stone Music Entertainment","OFF THE RECORD Entertainment, SWING Entertainment",2020.06.15
49,20200601,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),50,MAP OF THE SOUL : PERSONA,방탄소년단,랩/힙합 / 가요,YG PLUS,BIGHIT MUSIC,2019.04.12
50,20200601,너는 나의 시작이자 마지막이다,51,더 킹 : 영원의 군주 OST Part 13 (SBS 금토드라마),임한별 & 김재환,드라마 / OST,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, 화앤담픽쳐스",2020.06.06
51,20200601,안녕,52,호텔 델루나 OST Part.10 (tvN 토일드라마),폴킴,드라마 / OST,Dreamus,냠냠엔터테인먼트,2019.08.12
52,20200601,bad guy,53,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,락 / POP,Universal Music,"Darkroom, Interscope Records",2019.03.29
53,20200601,이제 나만 믿어요,54,내일은 미스터트롯 우승자 특전곡,임영웅,트로트 / 가요,카카오엔터테인먼트,TV CHOSUN,2020.04.03
54,20200601,반만,55,반만,진민호,발라드 / 가요,카카오엔터테인먼트,반만 엔터테인먼트,2019.11.30
55,20200601,Painkiller,56,Painkiller,Ruel,팝 / POP,Sony Music,RCA Records Label,2019.04.30
56,20200601,Love poem,57,Love poem,아이유 (IU),락 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2019.11.18
57,20200601,Paris In The Rain,58,I met you when I was 18. (the playlist),Lauv,팝 / POP,NHN벅스,뮤직테이블,2018.10.08
58,20200601,ON,59,MAP OF THE SOUL : 7,방탄소년단,랩/힙합 / 가요,YG PLUS,BIGHIT MUSIC,2020.02.21
59,20200601,Stay Tonight,60,Stay Tonight,청하,댄스 / 가요,"지니뮤직, Stone Music Entertainment",MNH Entertainment,2020.04.27
60,20200601,너의 이름은 (Feat. ASH ISLAND),61,Lyricist,헤이즈 (Heize),R&B/소울 / 가요,지니뮤직,"Studio blu, Stone Music Entertainment",2020.06.10
61,20200601,그때 그 아인,62,이태원 클라쓰 OST Part.6 (JTBC 금토드라마),김필,드라마 / OST,주식회사 블렌딩,㈜블렌딩,2020.02.15
62,20200601,찐이야,63,내일은 미스터트롯 결승전 베스트,Various Artists,트로트 / 가요,카카오엔터테인먼트,"TV CHOSUN, ㈜쇼플레이",2020.03.13
63,20200601,우리 만남이,64,"정규 2집 '마음, 둘'",폴킴,R&B/소울 / 가요,카카오엔터테인먼트,뉴런뮤직,2020.04.22
64,20200601,우리 왜 헤어져야 해,65,우리 왜 헤어져야 해,신예영,발라드 / 가요,카카오엔터테인먼트,㈜ 스튜디오 오드리,2019.11.20
65,20200601,니가 왜 거기서 나와 (Narr. 고은아),66,니가 왜 거기서 나와,영탁,트로트 / 가요,카카오엔터테인먼트,(주)밀라그로,2018.10.21
66,20200601,Zombie,67,The Book of Us : The Demon,DAY6 (데이식스),락 / 가요,Dreamus,(주)JYP엔터테인먼트,2020.05.11
67,20200601,Candy,68,Delight - The 2nd Mini Album,백현 (BAEKHYUN),R&B/소울 / 가요,Dreamus,SM ENTERTAINMENT,2020.05.25
