,chart,title,rank,album,artist,genre,publisher,agency,date
0,20200101,METEOR,1,Boyhood,창모 (CHANGMO),랩/힙합 / 가요,"지니뮤직, Stone Music Entertainment",Ambition Musik,2019.11.29
1,20200101,아무노래,2,아무노래,지코 (ZICO),랩/힙합 / 가요,카카오엔터테인먼트,KOZ 엔터테인먼트,2020.01.13
2,20200101,Psycho,3,'The ReVe Festival' Finale,Red Velvet (레드벨벳),댄스 / 가요,Dreamus,SM ENTERTAINMENT,2019.12.23
3,20200101,Blueming,4,Love poem,아이유 (IU),락 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2019.11.18
4,20200101,늦은 밤 너의 집 앞 골목길에서,5,늦은 밤 너의 집 앞 골목길에서,노을,발라드 / 가요,카카오엔터테인먼트,씨제스 엔터테인먼트 (C-JeS Entertainment),2019.11.07
5,20200101,HIP,6,reality in BLACK,마마무(Mamamoo),댄스 / 가요,카카오엔터테인먼트,(주)RBW,2019.11.14
6,20200101,아마두 (Feat. 우원재 & 김효은 & 넉살 & Huckleberry P),7,Dingo X DAMOIM (Part 2),염따 & 딥플로우 & 팔로알토 (Paloalto) & The Quiett & 사이먼 도미닉,랩/힙합 / 가요,Dreamus,"AOMG, 딩고뮤직, Hi-Lite Records, ILLIONAIRE RECORDS, VMC, YUMDDA",2019.12.03
7,20200101,먹구름,8,UNSTABLE MINDSET,윤하 (YOUNHA),락 / 가요,카카오엔터테인먼트,C9엔터테인먼트(얼라이브),2020.01.06
8,20200101,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,9,멜로가 체질 OST Part 3 (JTBC 금토 드라마),장범준,드라마 / OST,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, 삼화네트웍스",2019.08.23
9,20200101,Square (2017),10,Every letter I sent you.,백예린 (Yerin Baek),전체 / 가요,Dreamus,블루바이닐,2019.12.10
10,20200101,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",11,항해,AKMU (악뮤),락 / 가요,YG PLUS,(주)YG엔터테인먼트,2019.09.25
11,20200101,"다시 난, 여기",12,사랑의 불시착 OST Part 4 (tvN 토일 드라마),백예린 (Yerin Baek),드라마 / OST,지니뮤직,Stone Music Entertainment,2020.01.12
12,20200101,"다시는 사랑하지 않고, 이별에 아파하기 싫어",13,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영,발라드 / 가요,카카오엔터테인먼트,㈜ 스튜디오 오드리,2019.12.22
13,20200101,Love poem,14,Love poem,아이유 (IU),락 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2019.11.18
14,20200101,Nerdy Love (Feat. 백예린),15,Nerdy Love,pH-1,랩/힙합 / 가요,"지니뮤직, Stone Music Entertainment",H1GHR MUSIC,2020.01.09
15,20200101,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),16,Red Moon : To You My Light,마크툽 (Maktub),인디 / 가요,워너뮤직,(주)MAKTUB Company,2019.06.09
16,20200101,Into the Unknown,17,Frozen 2 (겨울왕국 2 OST),Various Artists,애니메이션/게임 / OST,Universal Music,Walt Disney Records,2019.11.16
17,20200101,나의 오랜 연인에게,18,나의 오랜 연인에게,다비치,발라드 / 가요,지니뮤직,WAKEONE,2019.12.03
18,20200101,안녕,19,호텔 델루나 OST Part.10 (tvN 토일드라마),폴킴,드라마 / OST,Dreamus,냠냠엔터테인먼트,2019.08.12
19,20200101,조금 취했어 (Prod. by 2soo),20,조금 취했어,임재현,인디 / 가요,카카오엔터테인먼트,"엔에스씨컴퍼니, 디원미디어",2019.09.24
20,20200101,빌었어,21,Boyhood,창모 (CHANGMO),랩/힙합 / 가요,"지니뮤직, Stone Music Entertainment",Ambition Musik,2019.11.29
21,20200101,사랑이란 멜로는 없어,22,사랑이란 멜로는 없어,전상근,발라드 / 가요,카카오엔터테인먼트,㈜ 스튜디오 오드리,2019.09.08
22,20200101,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),23,MAP OF THE SOUL : PERSONA,방탄소년단,랩/힙합 / 가요,YG PLUS,BIGHIT MUSIC,2019.04.12
23,20200101,2002,24,Speak Your Mind (Deluxe),Anne-Marie,팝 / POP,워너뮤직,Atlantic Records UK,2018.08.03
24,20200101,헤어진 우리가 지켜야 할 것들,25,헤어진 우리가 지켜야 할 것들,김나영 & 양다일,발라드 / 가요,카카오엔터테인먼트,"네버랜드엔터테인먼트, 브랜뉴뮤직",2019.12.01
25,20200101,새 사랑,26,새 사랑,송하예,발라드 / 가요,㈜다날엔터테인먼트,더하기미디어,2019.10.12
26,20200101,"모든 날, 모든 순간 (Every day, Every Moment)",27,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마),폴킴,드라마 / OST,Dreamus,SM ENTERTAINMENT,2018.03.20
27,20200101,시든 꽃에 물을 주듯,28,시든 꽃에 물을 주듯,HYNN (박혜원),발라드 / 가요,카카오엔터테인먼트,㈜엔터테인먼트뉴오더,2019.03.31
28,20200101,그때의 우리,29,그때의 우리,펀치 (Punch),발라드 / 가요,카카오엔터테인먼트,냠냠엔터테인먼트,2019.12.17
29,20200101,포장마차,30,포장마차,황인욱,발라드 / 가요,NHN벅스,하우엔터테인먼트,2019.06.20
30,20200101,인기 (Feat. 송가인 & 챈슬러),31,CHANNEL 8,MC몽,랩/힙합 / 가요,Dreamus,(주)밀리언마켓,2019.10.25
31,20200101,십이월 이십오일의 고백,32,십이월 이십오일의 고백,정승환,발라드 / 가요,카카오엔터테인먼트,안테나,2019.12.05
