,chart,title,rank,album,artist,genre,publisher,agency,date
0,20210501,롤린 (Rollin'),1,Rollin',브레이브걸스 (Brave girls),댄스 / 가요,㈜음악형제들,브레이브엔터테인먼트 (BRAVE ENTERTAINMENT),2017.03.07
1,20210501,Peaches (Feat. Daniel Caesar & Giveon),2,Justice,Justin Bieber,팝 / POP,Universal Music,"Def Jam Recordings, a division of UMG Recordings, Inc",2021.03.19
2,20210501,라일락,3,IU 5th Album 'LILAC',아이유 (IU),댄스 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2021.03.25
3,20210501,Dun Dun Dance,4,Dear OHMYGIRL,오마이걸 (OH MY GIRL),전체 / 가요,Sony Music,WM Entertainment,2021.05.10
4,20210501,Timeless,5,Wanna Be＋,SG워너비,발라드 / 가요,지니뮤직,Stone Music Entertainment,2004.01.19
5,20210501,운전만해 (We Ride),6,We Ride,브레이브걸스 (Brave girls),댄스 / 가요,카카오엔터테인먼트,㈜브레이브엔터테인먼트,2020.08.14
6,20210501,Celebrity,7,IU 5th Album 'LILAC',아이유 (IU),댄스 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2021.03.25
7,20210501,상상더하기,8,Fresh Adventure,라붐 (LABOUM),댄스 / 가요,㈜인터파크,주식회사 글로벌에이치미디어 (GLOBAL H),2016.04.06
8,20210501,Butter,9,Butter,방탄소년단,댄스 / 가요,YG PLUS,BIGHIT MUSIC,2021.05.21
9,20210501,맛 (Hot Sauce),10,맛 (Hot Sauce) - The 1st Album,NCT DREAM,랩/힙합 / 가요,Dreamus,SM ENTERTAINMENT,2021.05.10
10,20210501,마.피.아. In the morning,11,GUESS WHO,ITZY (있지),랩/힙합 / 가요,Dreamus,(주)JYP엔터테인먼트,2021.04.30
11,20210501,라라라,12,My Friend,SG워너비,발라드 / 가요,지니뮤직,Stone Music Entertainment,2008.04.24
12,20210501,헤픈 우연,13,HAPPEN,헤이즈 (Heize),R&B/소울 / 가요,"지니뮤직, Stone Music Entertainment",피네이션,2021.05.20
13,20210501,Dynamite,14,Dynamite (DayTime Ver.),방탄소년단,댄스 / 가요,YG PLUS,BIGHIT MUSIC,2020.08.21
14,20210501,Next Level,15,Next Level,aespa,댄스 / 가요,Dreamus,SM ENTERTAINMENT,2021.05.17
15,20210501,Coin,16,IU 5th Album 'LILAC',아이유 (IU),댄스 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2021.03.25
16,20210501,내 손을 잡아,17,최고의 사랑 OST Part.4 (MBC 수목드라마),아이유 (IU),드라마 / OST,카카오엔터테인먼트,더그루브엔터테인먼트 (더그루브컴퍼니),2011.05.25
17,20210501,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",18,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭 & 정은지,댄스 / 가요,카카오엔터테인먼트,"TOON STUDIO, 느을",2021.03.05
18,20210501,At My Worst,19,The Prelude,Pink Sweat$,R&B/소울 / POP,워너뮤직,Atlantic Records,2020.07.17
19,20210501,그냥 안아달란 말야,20,그냥 안아달란 말야,다비치,발라드 / 가요,지니뮤직,WAKEONE,2021.04.12
20,20210501,ASAP,21,STAYDOM,STAYC (스테이씨),댄스 / 가요,카카오엔터테인먼트,HIGHUP ENTERTAINMENT,2021.04.08
21,20210501,불어온다,22,The Blowing,하이라이트 (Highlight),댄스 / 가요,카카오엔터테인먼트,어라운드 어스,2021.05.03
22,20210501,내사람 : Partner For Life,23,The 3rd Masterpiece,SG워너비,R&B/소울 / 가요,㈜다날엔터테인먼트,다날엔터테인먼트,2006.04.11
23,20210501,너의 발걸음에 빛을 비춰줄게 (Prod. by 조영수),24,너의 발걸음에 빛을 비춰줄게 (Prod. by 조영수),케이시 (Kassy),발라드 / 가요,카카오엔터테인먼트,넥스타 엔터테인먼트,2021.04.27
24,20210501,상상더하기,25,MSG워너비 TOP 8 경연곡,MSG워너비,댄스 / 가요,"지니뮤직, Stone Music Entertainment",(주)문화방송,2021.05.22
25,20210501,어푸 (Ah puh),26,IU 5th Album 'LILAC',아이유 (IU),댄스 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2021.03.25
26,20210501,On The Ground,27,R,로제 (ROSE),락 / 가요,YG PLUS,YG엔터테인먼트,2021.03.12
27,20210501,Blueming,28,Love poem,아이유 (IU),락 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2019.11.18
28,20210501,밝게 빛나는 별이 되어 비춰줄게,29,밝게 빛나는 별이 되어 비춰줄게,송이한,인디 / 가요,카카오엔터테인먼트,㈜뮤직디자인,2020.12.29
29,20210501,12 : 45 (Stripped),30,12 : 45 (Stripped),Etham,팝 / POP,Universal Music,Closer Recordings Limited,2018.10.26
30,20210501,에잇 (Prod. & Feat. SUGA of BTS),31,에잇,아이유 (IU),락 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2020.05.06
31,20210501,살다가,32,2집 살다가,SG워너비,R&B/소울 / 가요,지니뮤직,Stone Music Entertainment,2005.03.23
32,20210501,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,33,멜로가 체질 OST Part 3 (JTBC 금토 드라마),장범준,드라마 / OST,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, 삼화네트웍스",2019.08.23
33,20210501,밤하늘의 별을 (2020),34,밤하늘의 별을 (2020),경서,인디 / 가요,카카오엔터테인먼트,꿈의 엔진,2020.11.14
34,20210501,Savage Love (Laxed - Siren Beat) (BTS Remix),35,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685 & Jason Derulo & 방탄소년단,팝 / POP,Sony Music,Columbia,2020.10.02
35,20210501,2002,36,Speak Your Mind (Deluxe),Anne-Marie,팝 / POP,워너뮤직,Atlantic Records UK,2018.08.03
36,20210501,멜로디,37,멜로디,ASH ISLAND,랩/힙합 / 가요,"지니뮤직, Stone Music Entertainment",앰비션뮤직,2021.02.25
37,20210501,VVS (Feat. JUSTHIS) (Prod. by GroovyRoom),38,쇼미더머니 9 Episode 1,Various Artists,랩/힙합 / 가요,지니뮤직,Stone Music Entertainment,2020.11.21
38,20210501,잠이 오질 않네요,39,잠이 오질 않네요,장범준,발라드 / 가요,카카오엔터테인먼트,㈜버스커버스커,2020.10.24
39,20210501,Lovesick Girls,40,THE ALBUM,BLACKPINK,댄스 / 가요,YG PLUS,(주)YG엔터테인먼트,2020.10.02
40,20210501,취기를 빌려 (취향저격 그녀 X 산들),41,취기를 빌려 (취향저격 그녀 X 산들),산들,인디 / 가요,카카오엔터테인먼트,TOON STUDIO,2020.07.20
41,20210501,Dolphin,42,NONSTOP,오마이걸 (OH MY GIRL),댄스 / 가요,Sony Music,WM엔터테인먼트,2020.04.27
42,20210501,이제 나만 믿어요,43,내일은 미스터트롯 우승자 특전곡,임영웅,트로트 / 가요,카카오엔터테인먼트,TV CHOSUN,2020.04.03
43,20210501,죄와 벌 (罪와 罰),44,2집 살다가,SG워너비,R&B/소울 / 가요,지니뮤직,Stone Music Entertainment,2005.03.23
44,20210501,"모든 날, 모든 순간 (Every day, Every Moment)",45,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마),폴킴,드라마 / OST,Dreamus,SM ENTERTAINMENT,2018.03.20
45,20210501,METEOR,46,Boyhood,창모 (CHANGMO),랩/힙합 / 가요,"지니뮤직, Stone Music Entertainment",Ambition Musik,2019.11.29
46,20210501,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),47,MAP OF THE SOUL : PERSONA,방탄소년단,랩/힙합 / 가요,YG PLUS,BIGHIT MUSIC,2019.04.12
47,20210501,parachute,48,love ＋ everything else,John K,팝 / POP,Sony Music,Epic,2020.11.13
48,20210501,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),49,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,발라드 / 가요,카카오엔터테인먼트,"TOON STUDIO, 느을",2021.01.24
49,20210501,오래된 노래,50,오래된 노래,Standing Egg (스탠딩 에그),발라드 / 가요,카카오엔터테인먼트,본(born),2012.09.04
50,20210501,Off My Face,51,Justice,Justin Bieber,팝 / POP,Universal Music,"Def Jam Recordings, a division of UMG Recordings, Inc",2021.03.19
51,20210501,사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco),52,사이렌 Remix,호미들,랩/힙합 / 가요,카카오엔터테인먼트,영앤리치 레코즈,2021.03.20
52,20210501,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",53,항해,AKMU (악뮤),락 / 가요,YG PLUS,(주)YG엔터테인먼트,2019.09.25
53,20210501,우린 어쩌다 헤어진 걸까,54,Hello,허각,발라드 / 가요,카카오엔터테인먼트,㈜플레이엠엔터테인먼트,2020.12.28
54,20210501,아로하,55,슬기로운 의사생활 OST Part 3 (tvN 목요드라마),조정석,드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2020.03.27
55,20210501,체념,56,MSG워너비 TOP 8 경연곡,MSG워너비,댄스 / 가요,"지니뮤직, Stone Music Entertainment",(주)문화방송,2021.05.22
56,20210501,Leave The Door Open,57,Skate,Bruno Mars & Anderson .Paak & Silk Sonic,R&B/소울 / POP,워너뮤직,"Aftermath Entertainment, Atlantic",2021.07.30
57,20210501,봄 안녕 봄,58,IU 5th Album 'LILAC',아이유 (IU),댄스 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2021.03.25
58,20210501,기다릴게,59,기다릴게,하동균 & 봉구 (길구봉구),발라드 / 가요,카카오엔터테인먼트,방구석 캐스팅,2021.04.22
59,20210501,Life Goes On,60,BE,방탄소년단,랩/힙합 / 가요,YG PLUS,BIGHIT MUSIC,2020.11.20
60,20210501,Memories,61,Memories,Maroon 5,팝 / POP,Universal Music,Interscope Records (222 Records),2019.09.20
61,20210501,Dance Monkey,62,The Kids Are Coming,Tones And I,락 / POP,워너뮤직,Elektra (NEK),2019.08.30
62,20210501,살짝 설렜어 (Nonstop),63,NONSTOP,오마이걸 (OH MY GIRL),댄스 / 가요,Sony Music,WM엔터테인먼트,2020.04.27
63,20210501,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),64,Red Moon : To You My Light,마크툽 (Maktub),인디 / 가요,워너뮤직,(주)MAKTUB Company,2019.06.09
64,20210501,나랑 같이 걸을래 (바른연애 길잡이 X 적재),65,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,인디 / 가요,카카오엔터테인먼트,"TOON STUDIO, 느을",2020.10.23
65,20210501,사이렌,66,Ghetto Kids,호미들,랩/힙합 / 가요,우조엔터테인먼트,G.M.S.P,2020.05.15
66,20210501,아이와 나의 바다,67,IU 5th Album 'LILAC',아이유 (IU),댄스 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2021.03.25
67,20210501,내사람,68,The Precious History,SG워너비,R&B/소울 / 가요,지니뮤직,Stone Music Entertainment,2006.11.15
68,20210501,Flu,69,IU 5th Album 'LILAC',아이유 (IU),댄스 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2021.03.25
69,20210501,고백 (바른연애 길잡이 X 허각),70,고백 (바른연애 길잡이 X 허각),허각,발라드 / 가요,카카오엔터테인먼트,"TOON STUDIO, 느을",2021.02.04
70,20210501,그날에 나는 맘이 편했을까,71,그날에 나는 맘이 편했을까,이예준,발라드 / 가요,카카오엔터테인먼트,뮤니콘,2020.12.03
71,20210501,고래 (Dive Into You),72,맛 (Hot Sauce) - The 1st Album,NCT DREAM,랩/힙합 / 가요,Dreamus,SM ENTERTAINMENT,2021.05.10
72,20210501,봄날,73,YOU NEVER WALK ALONE,방탄소년단,댄스 / 가요,YG PLUS,BIGHIT MUSIC,2017.02.13
