,chart,title,rank,album,artist,genre,publisher,agency,date
0,20190901,안녕,1,호텔 델루나 OST Part.10 (tvN 토일드라마),폴킴,드라마 / OST,Dreamus,냠냠엔터테인먼트,2019.08.12
1,20190901,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,2,멜로가 체질 OST Part 3 (JTBC 금토 드라마),장범준,드라마 / OST,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, 삼화네트웍스",2019.08.23
2,20190901,워커홀릭,3,Two Five,볼빨간사춘기,인디 / 가요,NHN벅스,쇼파르뮤직,2019.09.10
3,20190901,가을밤 떠난 너,4,Rewind,케이시 (Kassy),발라드 / 가요,카카오엔터테인먼트,넥스타 엔터테인먼트,2019.09.05
4,20190901,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),5,Red Moon : To You My Light,마크툽 (Maktub),인디 / 가요,워너뮤직,(주)MAKTUB Company,2019.06.09
5,20190901,기억해줘요 내 모든 날과 그때를,6,호텔 델루나 OST Part.7 (tvN 토일드라마),거미 (Gummy),드라마 / OST,Dreamus,냠냠엔터테인먼트,2019.08.04
6,20190901,시든 꽃에 물을 주듯,7,시든 꽃에 물을 주듯,HYNN (박혜원),발라드 / 가요,카카오엔터테인먼트,㈜엔터테인먼트뉴오더,2019.03.31
7,20190901,헤어지자 (Prod. by 정키 (Jung Key)),8,soar,휘인 (Whee In),발라드 / 가요,카카오엔터테인먼트,(주)RBW,2019.09.04
8,20190901,그대라는 시,9,호텔 델루나 OST Part.3 (tvN 토일드라마),태연 (TAEYEON),드라마 / OST,Dreamus,냠냠엔터테인먼트,2019.07.21
9,20190901,니 소식,10,니 소식,송하예,발라드 / 가요,㈜다날엔터테인먼트,더하기미디어,2019.05.11
10,20190901,포장마차,11,포장마차,황인욱,발라드 / 가요,NHN벅스,하우엔터테인먼트,2019.06.20
11,20190901,벗,12,벗,닐로 (Nilo),발라드 / 가요,Universal Music,리메즈,2019.08.26
12,20190901,Done For Me,13,호텔 델루나 OST Part.12 (tvN 토일드라마),펀치 (Punch),드라마 / OST,Dreamus,냠냠엔터테인먼트,2019.08.18
13,20190901,술이 문제야,14,술이 문제야,장혜진 & 윤민수(바이브),발라드 / 가요,카카오엔터테인먼트,젤리피쉬 엔터테인먼트,2019.06.18
14,20190901,2002,15,Speak Your Mind (Deluxe),Anne-Marie,팝 / POP,워너뮤직,Atlantic Records UK,2018.08.03
15,20190901,내 목소리 들리니,16,호텔 델루나 OST Part.9 (tvN 토일드라마),벤,드라마 / OST,Dreamus,냠냠엔터테인먼트,2019.08.11
16,20190901,사랑에 연습이 있었다면 (Prod. by 2soo),17,사랑에 연습이 있었다면,임재현,발라드 / 가요,카카오엔터테인먼트,"엔에스씨컴퍼니, 디원미디어",2018.09.25
17,20190901,날라리 (LALALAY),18,날라리 (LALALAY),선미,댄스 / 가요,카카오엔터테인먼트,(주)메이크어스엔터테인먼트,2019.08.27
