,chart,title,rank,album,artist,genre,publisher,agency,date
0,20210601,Butter,1,Butter,방탄소년단,댄스 / 가요,YG PLUS,BIGHIT MUSIC,2021.05.21
1,20210601,Next Level,2,Next Level,aespa,댄스 / 가요,Dreamus,SM ENTERTAINMENT,2021.05.17
2,20210601,헤픈 우연,3,HAPPEN,헤이즈 (Heize),R&B/소울 / 가요,"지니뮤직, Stone Music Entertainment",피네이션,2021.05.20
3,20210601,Dun Dun Dance,4,Dear OHMYGIRL,오마이걸 (OH MY GIRL),전체 / 가요,Sony Music,WM Entertainment,2021.05.10
4,20210601,안녕 (Hello),5,안녕 (Hello) - Special Album,조이 (JOY),락 / 가요,Dreamus,SM ENTERTAINMENT,2021.05.31
5,20210601,롤린 (Rollin'),6,Rollin',브레이브걸스 (Brave girls),댄스 / 가요,㈜음악형제들,브레이브엔터테인먼트 (BRAVE ENTERTAINMENT),2017.03.07
6,20210601,Peaches (Feat. Daniel Caesar & Giveon),7,Justice,Justin Bieber,팝 / POP,Universal Music,"Def Jam Recordings, a division of UMG Recordings, Inc",2021.03.19
7,20210601,치맛바람 (Chi Mat Ba Ram),8,Summer Queen,브레이브걸스 (Brave girls),댄스 / 가요,카카오엔터테인먼트,㈜브레이브엔터테인먼트,2021.06.17
8,20210601,Alcohol-Free,9,Taste of Love,TWICE (트와이스),댄스 / 가요,Dreamus,(주)JYP엔터테인먼트,2021.06.11
9,20210601,라일락,10,IU 5th Album 'LILAC',아이유 (IU),댄스 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2021.03.25
10,20210601,추적이는 여름 비가 되어,11,장범준 싱글,장범준,발라드 / 가요,카카오엔터테인먼트,㈜버스커버스커,2021.06.11
11,20210601,상상더하기,12,MSG워너비 TOP 8 경연곡,MSG워너비,댄스 / 가요,"지니뮤직, Stone Music Entertainment",(주)문화방송,2021.05.22
12,20210601,운전만해 (We Ride),13,We Ride,브레이브걸스 (Brave girls),댄스 / 가요,카카오엔터테인먼트,㈜브레이브엔터테인먼트,2020.08.14
13,20210601,Celebrity,14,IU 5th Album 'LILAC',아이유 (IU),댄스 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2021.03.25
14,20210601,Dynamite,15,Dynamite (DayTime Ver.),방탄소년단,댄스 / 가요,YG PLUS,BIGHIT MUSIC,2020.08.21
15,20210601,ASAP,16,STAYDOM,STAYC (스테이씨),댄스 / 가요,카카오엔터테인먼트,HIGHUP ENTERTAINMENT,2021.04.08
16,20210601,상상더하기,17,Fresh Adventure,라붐 (LABOUM),댄스 / 가요,㈜인터파크,주식회사 글로벌에이치미디어 (GLOBAL H),2016.04.06
17,20210601,Timeless,18,Wanna Be＋,SG워너비,발라드 / 가요,지니뮤직,Stone Music Entertainment,2004.01.19
18,20210601,비와 당신,19,슬기로운 의사생활 시즌2 OST Part 1 (tvN 목요드라마),이무진,드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2021.06.18
19,20210601,내 손을 잡아,20,최고의 사랑 OST Part.4 (MBC 수목드라마),아이유 (IU),드라마 / OST,카카오엔터테인먼트,더그루브엔터테인먼트 (더그루브컴퍼니),2011.05.25
20,20210601,바라만 본다,21,MSG워너비 1집,MSG워너비,발라드 / 가요,"지니뮤직, Stone Music Entertainment",유야호,2021.06.26
21,20210601,마.피.아. In the morning,22,GUESS WHO,ITZY (있지),랩/힙합 / 가요,Dreamus,(주)JYP엔터테인먼트,2021.04.30
22,20210601,At My Worst,23,The Prelude,Pink Sweat$,R&B/소울 / POP,워너뮤직,Atlantic Records,2020.07.17
23,20210601,Savage Love (Laxed - Siren Beat) (BTS Remix),24,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685 & Jason Derulo & 방탄소년단,팝 / POP,Sony Music,Columbia,2020.10.02
24,20210601,사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco),25,사이렌 Remix,호미들,랩/힙합 / 가요,카카오엔터테인먼트,영앤리치 레코즈,2021.03.20
25,20210601,라라라,26,My Friend,SG워너비,발라드 / 가요,지니뮤직,Stone Music Entertainment,2008.04.24
26,20210601,Coin,27,IU 5th Album 'LILAC',아이유 (IU),댄스 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2021.03.25
27,20210601,체념,28,MSG워너비 TOP 8 경연곡,MSG워너비,댄스 / 가요,"지니뮤직, Stone Music Entertainment",(주)문화방송,2021.05.22
28,20210601,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",29,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭 & 정은지,댄스 / 가요,카카오엔터테인먼트,"TOON STUDIO, 느을",2021.03.05
29,20210601,나를 아는 사람,30,MSG워너비 1집,MSG워너비,발라드 / 가요,"지니뮤직, Stone Music Entertainment",유야호,2021.06.26
30,20210601,Blueming,31,Love poem,아이유 (IU),락 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2019.11.18
31,20210601,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),32,MAP OF THE SOUL : PERSONA,방탄소년단,랩/힙합 / 가요,YG PLUS,BIGHIT MUSIC,2019.04.12
32,20210601,밝게 빛나는 별이 되어 비춰줄게,33,밝게 빛나는 별이 되어 비춰줄게,송이한,인디 / 가요,카카오엔터테인먼트,㈜뮤직디자인,2020.12.29
33,20210601,에잇 (Prod. & Feat. SUGA of BTS),34,에잇,아이유 (IU),락 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2020.05.06
34,20210601,멜로디,35,멜로디,ASH ISLAND,랩/힙합 / 가요,"지니뮤직, Stone Music Entertainment",앰비션뮤직,2021.02.25
35,20210601,내 입술 따뜻한 커피처럼,36,내 입술 따뜻한 커피처럼,청하 & Colde (콜드),발라드 / 가요,Dreamus,느을,2021.06.08
36,20210601,Off My Face,37,Justice,Justin Bieber,팝 / POP,Universal Music,"Def Jam Recordings, a division of UMG Recordings, Inc",2021.03.19
37,20210601,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,38,멜로가 체질 OST Part 3 (JTBC 금토 드라마),장범준,드라마 / OST,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, 삼화네트웍스",2019.08.23
38,20210601,2002,39,Speak Your Mind (Deluxe),Anne-Marie,팝 / POP,워너뮤직,Atlantic Records UK,2018.08.03
39,20210601,12 : 45 (Stripped),40,12 : 45 (Stripped),Etham,팝 / POP,Universal Music,Closer Recordings Limited,2018.10.26
40,20210601,어푸 (Ah puh),41,IU 5th Album 'LILAC',아이유 (IU),댄스 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2021.03.25
41,20210601,밤하늘의 별을 (2020),42,밤하늘의 별을 (2020),경서,인디 / 가요,카카오엔터테인먼트,꿈의 엔진,2020.11.14
42,20210601,Dolphin,43,NONSTOP,오마이걸 (OH MY GIRL),댄스 / 가요,Sony Music,WM엔터테인먼트,2020.04.27
43,20210601,다정히 내 이름을 부르면,44,다정히 내 이름을 부르면 (경서예지 x 전건호),경서예지 & 전건호,발라드 / 가요,카카오엔터테인먼트,에버그로우,2021.05.19
44,20210601,그냥 안아달란 말야,45,그냥 안아달란 말야,다비치,발라드 / 가요,지니뮤직,WAKEONE,2021.04.12
45,20210601,이제 나만 믿어요,46,내일은 미스터트롯 우승자 특전곡,임영웅,트로트 / 가요,카카오엔터테인먼트,TV CHOSUN,2020.04.03
46,20210601,잠이 오질 않네요,47,잠이 오질 않네요,장범준,발라드 / 가요,카카오엔터테인먼트,㈜버스커버스커,2020.10.24
47,20210601,VVS (Feat. JUSTHIS) (Prod. by GroovyRoom),48,쇼미더머니 9 Episode 1,Various Artists,랩/힙합 / 가요,지니뮤직,Stone Music Entertainment,2020.11.21
48,20210601,Life Goes On,49,BE,방탄소년단,랩/힙합 / 가요,YG PLUS,BIGHIT MUSIC,2020.11.20
49,20210601,Lovesick Girls,50,THE ALBUM,BLACKPINK,댄스 / 가요,YG PLUS,(주)YG엔터테인먼트,2020.10.02
50,20210601,METEOR,51,Boyhood,창모 (CHANGMO),랩/힙합 / 가요,"지니뮤직, Stone Music Entertainment",Ambition Musik,2019.11.29
51,20210601,"모든 날, 모든 순간 (Every day, Every Moment)",52,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마),폴킴,드라마 / OST,Dreamus,SM ENTERTAINMENT,2018.03.20
52,20210601,처음처럼 (Feat. 개리),53,HAPPEN,헤이즈 (Heize),R&B/소울 / 가요,"지니뮤직, Stone Music Entertainment",피네이션,2021.05.20
53,20210601,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",54,항해,AKMU (악뮤),락 / 가요,YG PLUS,(주)YG엔터테인먼트,2019.09.25
54,20210601,신호등,55,신호등,이무진,락 / 가요,카카오엔터테인먼트,쇼플레이엔터테인먼트,2021.05.14
55,20210601,아로하,56,슬기로운 의사생활 OST Part 3 (tvN 목요드라마),조정석,드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2020.03.27
56,20210601,취기를 빌려 (취향저격 그녀 X 산들),57,취기를 빌려 (취향저격 그녀 X 산들),산들,인디 / 가요,카카오엔터테인먼트,TOON STUDIO,2020.07.20
57,20210601,On The Ground,58,R,로제 (ROSE),락 / 가요,YG PLUS,YG엔터테인먼트,2021.03.12
58,20210601,좋을텐데 (If Only) (Feat. 폴킴),59,안녕 (Hello) - Special Album,조이 (JOY),락 / 가요,Dreamus,SM ENTERTAINMENT,2021.05.31
59,20210601,봄날,60,YOU NEVER WALK ALONE,방탄소년단,댄스 / 가요,YG PLUS,BIGHIT MUSIC,2017.02.13
60,20210601,오래된 노래,61,오래된 노래,Standing Egg (스탠딩 에그),발라드 / 가요,카카오엔터테인먼트,본(born),2012.09.04
61,20210601,Leave The Door Open,62,Skate,Bruno Mars & Anderson .Paak & Silk Sonic,R&B/소울 / POP,워너뮤직,"Aftermath Entertainment, Atlantic",2021.07.30
62,20210601,내사람 : Partner For Life,63,The 3rd Masterpiece,SG워너비,R&B/소울 / 가요,㈜다날엔터테인먼트,다날엔터테인먼트,2006.04.11
63,20210601,벌써일년,64,벌써일년,반하나 & MJ (써니사이드),발라드 / 가요,워너뮤직,프로젝트 리본,2021.05.30
64,20210601,parachute,65,love ＋ everything else,John K,팝 / POP,Sony Music,Epic,2020.11.13
65,20210601,살짝 설렜어 (Nonstop),66,NONSTOP,오마이걸 (OH MY GIRL),댄스 / 가요,Sony Music,WM엔터테인먼트,2020.04.27
66,20210601,너의 발걸음에 빛을 비춰줄게 (Prod. by 조영수),67,너의 발걸음에 빛을 비춰줄게 (Prod. by 조영수),케이시 (Kassy),발라드 / 가요,카카오엔터테인먼트,넥스타 엔터테인먼트,2021.04.27
67,20210601,Ready to love,68,SEVENTEEN 8th Mini Album 'Your Choice',세븐틴 (SEVENTEEN),댄스 / 가요,YG PLUS,플레디스 엔터테인먼트,2021.06.18
68,20210601,Memories,69,Memories,Maroon 5,팝 / POP,Universal Music,Interscope Records (222 Records),2019.09.20
69,20210601,우린 어쩌다 헤어진 걸까,70,Hello,허각,발라드 / 가요,카카오엔터테인먼트,㈜플레이엠엔터테인먼트,2020.12.28
70,20210601,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),71,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,발라드 / 가요,카카오엔터테인먼트,"TOON STUDIO, 느을",2021.01.24
71,20210601,Dance Monkey,72,The Kids Are Coming,Tones And I,락 / POP,워너뮤직,Elektra (NEK),2019.08.30
72,20210601,사이렌,73,Ghetto Kids,호미들,랩/힙합 / 가요,우조엔터테인먼트,G.M.S.P,2020.05.15
