,chart,title,rank,album,artist,genre,publisher,agency,date
0,20190501,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),1,MAP OF THE SOUL : PERSONA,방탄소년단,랩/힙합 / 가요,YG PLUS,BIGHIT MUSIC,2019.04.12
1,20190501,주저하는 연인들을 위해,2,전설,잔나비,인디 / 가요,카카오엔터테인먼트,페포니 뮤직,2019.03.13
2,20190501,사랑에 연습이 있었다면 (Prod. by 2soo),3,사랑에 연습이 있었다면,임재현,발라드 / 가요,카카오엔터테인먼트,"엔에스씨컴퍼니, 디원미디어",2018.09.25
3,20190501,2002,4,Speak Your Mind (Deluxe),Anne-Marie,팝 / POP,워너뮤직,Atlantic Records UK,2018.08.03
4,20190501,FANCY,5,FANCY YOU,TWICE (트와이스),댄스 / 가요,Dreamus,(주)JYP엔터테인먼트,2019.04.22
5,20190501,Goodbye,6,Goodbye,박효신,발라드 / 가요,카카오엔터테인먼트,(주)글러브엔터테인먼트,2019.05.06
6,20190501,노래방에서,7,장범준 3집,장범준,락 / 가요,카카오엔터테인먼트,㈜버스커버스커,2019.03.21
7,20190501,"나만, 봄",8,사춘기집 I 꽃기운,볼빨간사춘기,인디 / 가요,NHN벅스,쇼파르뮤직,2019.04.02
8,20190501,사계 (Four Seasons),9,사계 (Four Seasons),태연 (TAEYEON),발라드 / 가요,Dreamus,SM ENTERTAINMENT,2019.03.24
9,20190501,bad guy,10,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,락 / POP,Universal Music,"Darkroom, Interscope Records",2019.03.29
10,20190501,너에게 못했던 내 마지막 말은,11,너에게 못했던 내 마지막 말은,다비치,발라드 / 가요,지니뮤직,WAKEONE,2019.05.17
11,20190501,Kill This Love,12,KILL THIS LOVE,BLACKPINK,랩/힙합 / 가요,YG PLUS,(주)YG엔터테인먼트,2019.04.05
12,20190501,그때가 좋았어,13,그때가 좋았어,케이시 (Kassy),발라드 / 가요,카카오엔터테인먼트,넥스타 엔터테인먼트,2018.12.31
13,20190501,옥탑방 (Rooftop),14,FLY HIGH PROJECT #2 '옥탑방',엔플라잉 (N.Flying),락 / 가요,카카오엔터테인먼트,FNC엔터테인먼트,2019.01.02
14,20190501,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,15,봉춤을 추네,잔나비,인디 / 가요,카카오엔터테인먼트,페포니 뮤직,2014.08.28
15,20190501,달라달라,16,IT'z Different,ITZY (있지),댄스 / 가요,Dreamus,(주)JYP엔터테인먼트,2019.02.12
16,20190501,별 보러 갈래?,17,사춘기집 I 꽃기운,볼빨간사춘기,인디 / 가요,NHN벅스,쇼파르뮤직,2019.04.02
17,20190501,당신과는 천천히,18,장범준 3집,장범준,락 / 가요,카카오엔터테인먼트,㈜버스커버스커,2019.03.21
18,20190501,AH YEAH (아예),19,WE,WINNER,댄스 / 가요,YG PLUS,(주)YG엔터테인먼트,2019.05.15
19,20190501,"모든 날, 모든 순간 (Every day, Every Moment)",20,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마),폴킴,드라마 / OST,Dreamus,SM ENTERTAINMENT,2018.03.20
20,20190501,뜨거운 여름밤은 가고 남은 건 볼품없지만,21,MONKEY HOTEL,잔나비,발라드 / 가요,카카오엔터테인먼트,페포니 뮤직,2016.08.04
21,20190501,사월이 지나면 우리 헤어져요 (Beautiful goodbye),22,"사월, 그리고 꽃 - The 1st Mini Album",첸 (CHEN),발라드 / 가요,Dreamus,SM ENTERTAINMENT,2019.04.01
22,20190501,사계 (하루살이),23,Circular,엠씨더맥스 (M.C the MAX),발라드 / 가요,카카오엔터테인먼트,325 이엔씨,2019.01.02
23,20190501,너를 만나,24,너를 만나,폴킴,발라드 / 가요,카카오엔터테인먼트,뉴런뮤직,2018.10.29
24,20190501,벌써 12시,25,벌써 12시,청하,댄스 / 가요,"지니뮤직, Stone Music Entertainment",MNH Entertainment,2019.01.02
25,20190501,소우주 (Mikrokosmos),26,MAP OF THE SOUL : PERSONA,방탄소년단,랩/힙합 / 가요,YG PLUS,BIGHIT MUSIC,2019.04.12
26,20190501,넘쳐흘러,27,Circular,엠씨더맥스 (M.C the MAX),발라드 / 가요,카카오엔터테인먼트,325 이엔씨,2019.01.02
27,20190501,진심이 담긴 노래 (True Song),28,진심이 담긴 노래 (True Song),케이시 (Kassy),발라드 / 가요,카카오엔터테인먼트,넥스타 엔터테인먼트,2019.03.28
28,20190501,그건 아마 우리의 잘못은 아닐 거야,29,Our love is great,백예린 (Yerin Baek),R&B/소울 / 가요,Dreamus,(주)JYP엔터테인먼트,2019.03.18
29,20190501,다섯 번째 계절 (SSFWL),30,THE FIFTH SEASON,오마이걸 (OH MY GIRL),댄스 / 가요,Sony Music,WM엔터테인먼트,2019.05.08
30,20190501,고고베베 (gogobebe),31,White Wind,마마무(Mamamoo),댄스 / 가요,카카오엔터테인먼트,(주)RBW,2019.03.14
31,20190501,Way Back Home,32,Take,숀 (SHAUN),일렉트로니카 / 가요,워너뮤직,디씨톰엔터테인먼트,2018.06.27
32,20190501,Paris In The Rain,33,I met you when I was 18. (the playlist),Lauv,팝 / POP,NHN벅스,뮤직테이블,2018.10.08
33,20190501,이 노래가 클럽에서 나온다면,34,이 노래가 클럽에서 나온다면,우디 (Woody),인디 / 가요,지니뮤직,인디안레이블,2019.01.23
34,20190501,Make It Right,35,MAP OF THE SOUL : PERSONA,방탄소년단,랩/힙합 / 가요,YG PLUS,BIGHIT MUSIC,2019.04.12
35,20190501,비올레타,36,HEART*IZ,IZ*ONE (아이즈원),댄스 / 가요,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, OFF THE RECORD Entertainment",2019.04.01
36,20190501,봄 (Feat. 산다라박),37,Spring,박봄 (Park Bom),R&B/소울 / 가요,㈜다날엔터테인먼트,디네이션,2019.03.13
37,20190501,봄날,38,YOU NEVER WALK ALONE,방탄소년단,댄스 / 가요,YG PLUS,BIGHIT MUSIC,2017.02.13
38,20190501,All Falls Down (Feat. Juliander),39,Different World,Alan Walker,일렉트로니카 / POP,Sony Music,MER Recordings,2018.12.14
39,20190501,멍청이 (twit),40,멍청이 (twit),화사 (Hwa Sa),댄스 / 가요,카카오엔터테인먼트,(주)RBW,2019.02.13
40,20190501,"thank u, next",41,"thank u, next",Ariana Grande,팝 / POP,Universal Music,Republic Records a division of UMG Recordings Inc,2018.11.04
41,20190501,7 rings,42,7 rings,Ariana Grande,팝 / POP,Universal Music,Republic Records a division of UMG Recordings Inc,2019.01.18
42,20190501,신용재,43,신용재,하은 (포맨),발라드 / 가요,지니뮤직,인디안레이블,2018.11.06
43,20190501,여행,44,Red Diary Page.2,볼빨간사춘기,인디 / 가요,NHN벅스,쇼파르뮤직,2018.05.24
44,20190501,술이 달다 (Feat. Crush),45,sleepless in __________,에픽하이 (EPIK HIGH),랩/힙합 / 가요,카카오엔터테인먼트,OURS Co.,2019.03.11
45,20190501,오늘 밤에,46,Lots of Love,홍진영,트로트 / 가요,카카오엔터테인먼트,뮤직K,2019.03.08
46,20190501,비가 오잖아,47,비가 오잖아,소유 (SOYOU) & 오반 (OVAN),R&B/소울 / 가요,카카오엔터테인먼트,"스타쉽 엔터테인먼트, 로맨틱팩토리",2019.05.16
47,20190501,Dionysus,48,MAP OF THE SOUL : PERSONA,방탄소년단,랩/힙합 / 가요,YG PLUS,BIGHIT MUSIC,2019.04.12
48,20190501,내 생에 아름다운,49,뷰티 인사이드 OST Part.4 (JTBC 월화드라마),케이윌 (K.Will),드라마 / OST,뮤직앤뉴,"뮤직앤뉴, 스튜디오앤뉴",2018.10.23
49,20190501,YES or YES,50,YES or YES,TWICE (트와이스),댄스 / 가요,Dreamus,(주)JYP엔터테인먼트,2018.11.05
50,20190501,180도,51,180˚,벤,발라드 / 가요,지니뮤직,메이저나인,2018.12.07
51,20190501,IDOL,52,LOVE YOURSELF 結 'Answer',방탄소년단,랩/힙합 / 가요,YG PLUS,BIGHIT MUSIC,2018.08.24
52,20190501,She (Hidden Track No.V 1월 선정곡),53,She (Hidden Track No.V 1월 선정곡),잔나비,인디 / 가요,카카오엔터테인먼트,페포니 뮤직,2017.09.09
53,20190501,띵 (Prod. by 기리보이),54,Dingo X Indigo Music,Jvcki Wai & 양홍원 & Osshun Gum & 한요한,랩/힙합 / 가요,카카오엔터테인먼트,"인디고뮤직, 딩고뮤직",2019.01.13
54,20190501,너도 그냥 날 놓아주면 돼,55,너도 그냥 날 놓아주면 돼,윤건,발라드 / 가요,지니뮤직,센토엔터테인먼트,2018.11.29
55,20190501,이별하러 가는 길,56,이별하러 가는 길,임한별,발라드 / 가요,카카오엔터테인먼트,모스트웍스,2018.09.13
56,20190501,비,57,비,폴킴,R&B/소울 / 가요,카카오엔터테인먼트,뉴런뮤직,2016.06.21
57,20190501,지나오다,58,About You,닐로 (Nilo),발라드 / 가요,주식회사 루미넌트엔터테인먼트,닐로 컴퍼니,2017.10.31
58,20190501,SOLO,59,SOLO,제니 (JENNIE),랩/힙합 / 가요,YG PLUS,(주)YG엔터테인먼트,2018.11.12
59,20190501,삐삐,60,삐삐,아이유 (IU),R&B/소울 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2018.10.10
60,20190501,고백,61,고백,양다일,발라드 / 가요,카카오엔터테인먼트,브랜뉴뮤직 (Brand New Music),2018.10.15
61,20190501,눈 (Prod. by 기리보이),62,고등래퍼 3 팀대항전 Part 1,Various Artists,랩/힙합 / 가요,지니뮤직,Stone Music Entertainment,2019.03.16
62,20190501,Shape Of You,63,÷ (Deluxe),Ed Sheeran,팝 / POP,워너뮤직,Atlantic Records UK,2017.03.03
63,20190501,HOME,64,MAP OF THE SOUL : PERSONA,방탄소년단,랩/힙합 / 가요,YG PLUS,BIGHIT MUSIC,2019.04.12
64,20190501,The Ocean (Feat. Shy Martin),65,The Ocean,Mike Perry,일렉트로니카 / POP,Sony Music,DF Records,2016.04.15
65,20190501,밤편지,66,밤편지,아이유 (IU),발라드 / 가요,카카오엔터테인먼트,"카카오엔터테인먼트, ㈜페이브엔터테인먼트",2017.03.24
66,20190501,FRIENDS,67,Speak Your Mind (Deluxe),Anne-Marie,팝 / POP,워너뮤직,Atlantic Records UK,2018.08.03
67,20190501,YOUTH,68,Blue Neighbourhood (Deluxe Edition),Troye Sivan,팝 / POP,Universal Music,Universal Music Australia Pty Ltd.,2016.01.23
68,20190501,열애중,69,RECIPE,벤,발라드 / 가요,지니뮤직,메이저나인,2018.05.08
