,chart,title,rank,album,artist,genre,publisher,agency,date
0,20200501,에잇 (Prod. & Feat. SUGA of BTS),1,에잇,아이유 (IU),락 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2020.05.06
1,20200501,아로하,2,슬기로운 의사생활 OST Part 3 (tvN 목요드라마),조정석,드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2020.03.27
2,20200501,살짝 설렜어 (Nonstop),3,NONSTOP,오마이걸 (OH MY GIRL),댄스 / 가요,Sony Music,WM엔터테인먼트,2020.04.27
3,20200501,나비와 고양이 (Feat. 백현 (BAEKHYUN)),4,사춘기집Ⅱ 꽃 본 나비,볼빨간사춘기,인디 / 가요,카카오엔터테인먼트,쇼파르뮤직,2020.05.13
4,20200501,내 눈물 모아,5,슬기로운 의사생활 OST Part 8 (tvN 목요드라마),휘인 (Whee In),드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2020.05.01
5,20200501,Happy,6,Happy,태연 (TAEYEON),R&B/소울 / 가요,Dreamus,SM ENTERTAINMENT,2020.05.04
6,20200501,시작,7,이태원 클라쓰 OST Part.2 (JTBC 금토드라마),가호 (Gaho),드라마 / OST,주식회사 블렌딩,㈜블렌딩,2020.02.01
7,20200501,덤더럼 (Dumhdurum),8,LOOK,Apink (에이핑크),댄스 / 가요,카카오엔터테인먼트,㈜플레이엠엔터테인먼트,2020.04.13
8,20200501,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,9,멜로가 체질 OST Part 3 (JTBC 금토 드라마),장범준,드라마 / OST,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, 삼화네트웍스",2019.08.23
9,20200501,좋은 사람 있으면 소개시켜줘,10,슬기로운 의사생활 OST Part 2 (tvN 목요드라마),조이 (JOY),드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2020.03.20
10,20200501,Don't Start Now,11,Future Nostalgia,Dua Lipa,팝 / POP,워너뮤직,Warner Records,2020.03.27
11,20200501,Dolphin,12,NONSTOP,오마이걸 (OH MY GIRL),댄스 / 가요,Sony Music,WM엔터테인먼트,2020.04.27
12,20200501,처음처럼,13,CEREMONIA,엠씨더맥스 (M.C the MAX),발라드 / 가요,카카오엔터테인먼트,325 이엔씨,2020.03.25
13,20200501,아무노래,14,아무노래,지코 (ZICO),랩/힙합 / 가요,카카오엔터테인먼트,KOZ 엔터테인먼트,2020.01.13
14,20200501,Blueming,15,Love poem,아이유 (IU),락 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2019.11.18
15,20200501,품,16,사춘기집Ⅱ 꽃 본 나비,볼빨간사춘기,인디 / 가요,카카오엔터테인먼트,쇼파르뮤직,2020.05.13
16,20200501,Stay Tonight,17,Stay Tonight,청하,댄스 / 가요,"지니뮤직, Stone Music Entertainment",MNH Entertainment,2020.04.27
17,20200501,METEOR,18,Boyhood,창모 (CHANGMO),랩/힙합 / 가요,"지니뮤직, Stone Music Entertainment",Ambition Musik,2019.11.29
