,chart,title,rank,album,artist,genre,publisher,agency,date
0,20200701,How You Like That,1,How You Like That,BLACKPINK,댄스 / 가요,YG PLUS,(주)YG엔터테인먼트,2020.06.26
1,20200701,마리아 (Maria),2,Maria,화사 (Hwa Sa),댄스 / 가요,카카오엔터테인먼트,(주)RBW,2020.06.29
2,20200701,Summer Hate (Feat. 비),3,RANDOM BOX,지코 (ZICO),랩/힙합 / 가요,카카오엔터테인먼트,KOZ 엔터테인먼트,2020.07.01
3,20200701,Downtown Baby,4,Downtown Baby,블루 (BLOO),랩/힙합 / 가요,워너뮤직,UNCUTPOINT,2017.12.06
4,20200701,다시 여기 바닷가,5,다시 여기 바닷가,싹쓰리 (유두래곤 & 린다G & 비룡),댄스 / 가요,카카오엔터테인먼트,MBC (문화방송),2020.07.18
5,20200701,여름 안에서 (Feat. 황광희),6,여름 안에서,싹쓰리 (유두래곤 & 린다G & 비룡),댄스 / 가요,카카오엔터테인먼트,MBC (문화방송),2020.07.11
6,20200701,보라빛 밤 (pporappippam),7,보라빛 밤 (pporappippam),선미,댄스 / 가요,카카오엔터테인먼트,(주)메이크어스엔터테인먼트,2020.06.29
7,20200701,PLAY (Feat. 창모),8,PLAY,청하,댄스 / 가요,"지니뮤직, Stone Music Entertainment",MNH Entertainment,2020.07.06
8,20200701,에잇 (Prod. & Feat. SUGA of BTS),9,에잇,아이유 (IU),락 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2020.05.06
9,20200701,아로하,10,슬기로운 의사생활 OST Part 3 (tvN 목요드라마),조정석,드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2020.03.27
10,20200701,Dolphin,11,NONSTOP,오마이걸 (OH MY GIRL),댄스 / 가요,Sony Music,WM엔터테인먼트,2020.04.27
11,20200701,Into the I-LAND,12,I-LAND Part.1 Signal Song,아이유 (IU),댄스 / 가요,카카오엔터테인먼트,EDAM엔터테인먼트,2020.06.19
12,20200701,살짝 설렜어 (Nonstop),13,NONSTOP,오마이걸 (OH MY GIRL),댄스 / 가요,Sony Music,WM엔터테인먼트,2020.04.27
13,20200701,사랑하게 될 줄 알았어,14,슬기로운 의사생활 OST Part 11 (tvN 목요드라마),우효 & 전미도,드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2020.05.22
14,20200701,아직 너의 시간에 살아,15,사이코지만 괜찮아 OST Part.4 (tvN 토일드라마),이수현,드라마 / OST,NHN벅스,모스트콘텐츠,2020.07.12
15,20200701,Monster,16,Monster - The 1st Mini Album,레드벨벳-아이린 & 슬기,댄스 / 가요,Dreamus,SM ENTERTAINMENT,2020.07.06
16,20200701,어떻게 지내 (Prod. by VAN.C),17,어떻게 지내,오반 (OVAN),인디 / 가요,카카오엔터테인먼트,로맨틱팩토리,2020.03.05
17,20200701,Don't Start Now,18,Future Nostalgia,Dua Lipa,팝 / POP,워너뮤직,Warner Records,2020.03.27
