,chart,title,rank,album,artist,genre,publisher,agency,date
0,20200301,시작,1,이태원 클라쓰 OST Part.2 (JTBC 금토드라마),가호 (Gaho),드라마 / OST,주식회사 블렌딩,㈜블렌딩,2020.02.01
1,20200301,아무노래,2,아무노래,지코 (ZICO),랩/힙합 / 가요,카카오엔터테인먼트,KOZ 엔터테인먼트,2020.01.13
2,20200301,어떻게 지내 (Prod. by VAN.C),3,어떻게 지내,오반 (OVAN),인디 / 가요,카카오엔터테인먼트,로맨틱팩토리,2020.03.05
3,20200301,METEOR,4,Boyhood,창모 (CHANGMO),랩/힙합 / 가요,"지니뮤직, Stone Music Entertainment",Ambition Musik,2019.11.29
4,20200301,마음을 드려요,5,사랑의 불시착 OST Part 11 (tvN 토일 드라마),아이유 (IU),드라마 / OST,카카오엔터테인먼트,EDAM엔터테인먼트,2020.02.15
5,20200301,WANNABE,6,IT'z ME,ITZY (있지),댄스 / 가요,Dreamus,(주)JYP엔터테인먼트,2020.03.09
6,20200301,ON,7,MAP OF THE SOUL : 7,방탄소년단,랩/힙합 / 가요,YG PLUS,BIGHIT MUSIC,2020.02.21
7,20200301,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,8,멜로가 체질 OST Part 3 (JTBC 금토 드라마),장범준,드라마 / OST,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, 삼화네트웍스",2019.08.23
8,20200301,Blueming,9,Love poem,아이유 (IU),락 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2019.11.18
9,20200301,문득,10,문득,노을,발라드 / 가요,카카오엔터테인먼트,씨제스 엔터테인먼트 (C-JeS Entertainment),2020.03.12
10,20200301,돌덩이,11,이태원 클라쓰 OST Part.3 (JTBC 금토드라마),하현우 (국카스텐),드라마 / OST,주식회사 블렌딩,㈜블렌딩,2020.02.07
11,20200301,그때 그 아인,12,이태원 클라쓰 OST Part.6 (JTBC 금토드라마),김필,드라마 / OST,주식회사 블렌딩,㈜블렌딩,2020.02.15
12,20200301,늦은 밤 너의 집 앞 골목길에서,13,늦은 밤 너의 집 앞 골목길에서,노을,발라드 / 가요,카카오엔터테인먼트,씨제스 엔터테인먼트 (C-JeS Entertainment),2019.11.07
13,20200301,FIESTA,14,BLOOM*IZ,IZ*ONE (아이즈원),댄스 / 가요,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, OFF THE RECORD Entertainment",2020.02.17
14,20200301,바빠서 (Feat. 헤이즈),15,바빠서,개코,R&B/소울 / 가요,"지니뮤직, Stone Music Entertainment",아메바컬쳐,2020.02.25
15,20200301,Psycho,16,'The ReVe Festival' Finale,Red Velvet (레드벨벳),댄스 / 가요,Dreamus,SM ENTERTAINMENT,2019.12.23
16,20200301,솔직히 지친다,17,솔직히 지친다.newwav,청하,발라드 / 가요,"지니뮤직, Stone Music Entertainment",MNH Entertainment,2020.02.29
17,20200301,HIP,18,reality in BLACK,마마무(Mamamoo),댄스 / 가요,카카오엔터테인먼트,(주)RBW,2019.11.14
18,20200301,반만,19,반만,진민호,발라드 / 가요,카카오엔터테인먼트,반만 엔터테인먼트,2019.11.30
19,20200301,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",20,항해,AKMU (악뮤),락 / 가요,YG PLUS,(주)YG엔터테인먼트,2019.09.25
20,20200301,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),21,Red Moon : To You My Light,마크툽 (Maktub),인디 / 가요,워너뮤직,(주)MAKTUB Company,2019.06.09
