,chart,title,rank,album,artist,genre,publisher,agency,date
0,20191201,Blueming,1,Love poem,아이유 (IU),락 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2019.11.18
1,20191201,아마두 (Feat. 우원재 & 김효은 & 넉살 & Huckleberry P),2,Dingo X DAMOIM (Part 2),염따 & 딥플로우 & 팔로알토 (Paloalto) & The Quiett & 사이먼 도미닉,랩/힙합 / 가요,Dreamus,"AOMG, 딩고뮤직, Hi-Lite Records, ILLIONAIRE RECORDS, VMC, YUMDDA",2019.12.03
2,20191201,늦은 밤 너의 집 앞 골목길에서,3,늦은 밤 너의 집 앞 골목길에서,노을,발라드 / 가요,카카오엔터테인먼트,씨제스 엔터테인먼트 (C-JeS Entertainment),2019.11.07
3,20191201,HIP,4,reality in BLACK,마마무(Mamamoo),댄스 / 가요,카카오엔터테인먼트,(주)RBW,2019.11.14
4,20191201,Into the Unknown,5,Frozen 2 (겨울왕국 2 OST),Various Artists,애니메이션/게임 / OST,Universal Music,Walt Disney Records,2019.11.16
5,20191201,Square (2017),6,Every letter I sent you.,백예린 (Yerin Baek),전체 / 가요,Dreamus,블루바이닐,2019.12.10
6,20191201,나의 오랜 연인에게,7,나의 오랜 연인에게,다비치,발라드 / 가요,지니뮤직,WAKEONE,2019.12.03
7,20191201,METEOR,8,Boyhood,창모 (CHANGMO),랩/힙합 / 가요,"지니뮤직, Stone Music Entertainment",Ambition Musik,2019.11.29
8,20191201,Love poem,9,Love poem,아이유 (IU),락 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2019.11.18
9,20191201,헤어진 우리가 지켜야 할 것들,10,헤어진 우리가 지켜야 할 것들,김나영 & 양다일,발라드 / 가요,카카오엔터테인먼트,"네버랜드엔터테인먼트, 브랜뉴뮤직",2019.12.01
10,20191201,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",11,항해,AKMU (악뮤),락 / 가요,YG PLUS,(주)YG엔터테인먼트,2019.09.25
11,20191201,십이월 이십오일의 고백,12,십이월 이십오일의 고백,정승환,발라드 / 가요,카카오엔터테인먼트,안테나,2019.12.05
12,20191201,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,13,멜로가 체질 OST Part 3 (JTBC 금토 드라마),장범준,드라마 / OST,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, 삼화네트웍스",2019.08.23
13,20191201,조금 취했어 (Prod. by 2soo),14,조금 취했어,임재현,인디 / 가요,카카오엔터테인먼트,"엔에스씨컴퍼니, 디원미디어",2019.09.24
14,20191201,첫 겨울이니까,15,첫 겨울이니까,성시경 & 아이유,발라드 / 가요,카카오엔터테인먼트,에스케이재원㈜,2019.12.09
15,20191201,Show Yourself,16,Frozen 2 (겨울왕국 2 OST),Various Artists,애니메이션/게임 / OST,Universal Music,Walt Disney Records,2019.11.16
16,20191201,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),17,Red Moon : To You My Light,마크툽 (Maktub),인디 / 가요,워너뮤직,(주)MAKTUB Company,2019.06.09
17,20191201,이 번호로 전화해줘,18,이 번호로 전화해줘,바이브,발라드 / 가요,지니뮤직,메이저나인,2019.11.13
18,20191201,안녕,19,호텔 델루나 OST Part.10 (tvN 토일드라마),폴킴,드라마 / OST,Dreamus,냠냠엔터테인먼트,2019.08.12
19,20191201,새 사랑,20,새 사랑,송하예,발라드 / 가요,㈜다날엔터테인먼트,더하기미디어,2019.10.12
20,20191201,사랑이란 멜로는 없어,21,사랑이란 멜로는 없어,전상근,발라드 / 가요,카카오엔터테인먼트,㈜ 스튜디오 오드리,2019.09.08
21,20191201,시간의 바깥,22,Love poem,아이유 (IU),락 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2019.11.18
22,20191201,인기 (Feat. 송가인 & 챈슬러),23,CHANNEL 8,MC몽,랩/힙합 / 가요,Dreamus,(주)밀리언마켓,2019.10.25
23,20191201,있어줘요,24,있어줘요,장덕철,인디 / 가요,카카오엔터테인먼트,리메즈,2019.10.09
24,20191201,Psycho,25,'The ReVe Festival' Finale,Red Velvet (레드벨벳),댄스 / 가요,Dreamus,SM ENTERTAINMENT,2019.12.23
25,20191201,Santa Tell Me,26,Santa Tell Me,Ariana Grande,팝 / POP,Universal Music,,2014.11.25
26,20191201,불티 (Spark),27,Purpose - The 2nd Album,태연 (TAEYEON),댄스 / 가요,Dreamus,SM ENTERTAINMENT,2019.10.28
27,20191201,시든 꽃에 물을 주듯,28,시든 꽃에 물을 주듯,HYNN (박혜원),발라드 / 가요,카카오엔터테인먼트,㈜엔터테인먼트뉴오더,2019.03.31
28,20191201,unlucky,29,Love poem,아이유 (IU),락 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2019.11.18
29,20191201,니 소식,30,니 소식,송하예,발라드 / 가요,㈜다날엔터테인먼트,더하기미디어,2019.05.11
30,20191201,포장마차,31,포장마차,황인욱,발라드 / 가요,NHN벅스,하우엔터테인먼트,2019.06.20
31,20191201,2002,32,Speak Your Mind (Deluxe),Anne-Marie,팝 / POP,워너뮤직,Atlantic Records UK,2018.08.03
32,20191201,"모든 날, 모든 순간 (Every day, Every Moment)",33,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마),폴킴,드라마 / OST,Dreamus,SM ENTERTAINMENT,2018.03.20
33,20191201,그때의 우리,34,그때의 우리,펀치 (Punch),발라드 / 가요,카카오엔터테인먼트,냠냠엔터테인먼트,2019.12.17
34,20191201,기억해줘요 내 모든 날과 그때를,35,호텔 델루나 OST Part.7 (tvN 토일드라마),거미 (Gummy),드라마 / OST,Dreamus,냠냠엔터테인먼트,2019.08.04
35,20191201,사랑에 연습이 있었다면 (Prod. by 2soo),36,사랑에 연습이 있었다면,임재현,발라드 / 가요,카카오엔터테인먼트,"엔에스씨컴퍼니, 디원미디어",2018.09.25
36,20191201,"다시는 사랑하지 않고, 이별에 아파하기 싫어",37,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영,발라드 / 가요,카카오엔터테인먼트,㈜ 스튜디오 오드리,2019.12.22
37,20191201,All I Want for Christmas Is You,38,Merry Christmas (Deluxe Anniversary Edition),Mariah Carey,팝 / POP,Sony Music,Columbia/Legacy,2019.11.01
38,20191201,워커홀릭,39,Two Five,볼빨간사춘기,인디 / 가요,NHN벅스,쇼파르뮤직,2019.09.10
39,20191201,Popo (How deep is our love?),40,Every letter I sent you.,백예린 (Yerin Baek),전체 / 가요,Dreamus,블루바이닐,2019.12.10
40,20191201,다시 만날까 봐,41,다시 만날까 봐,V.O.S,발라드 / 가요,카카오엔터테인먼트,J-SOUL company,2019.09.01
41,20191201,사랑이 식었다고 말해도 돼,42,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),발라드 / 가요,카카오엔터테인먼트,먼데이키즈 컴퍼니,2019.05.27
42,20191201,bad guy,43,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,락 / POP,Universal Music,"Darkroom, Interscope Records",2019.03.29
43,20191201,숨겨진 세상 (Into the Unknown End Credit Ver.) (겨울왕국 2),44,겨울왕국 2 (한국어 버전),Various Artists,애니메이션/게임 / OST,Universal Music,Walt Disney Records,2019.11.15
44,20191201,FEVER (Feat. 수퍼비 & BIBI),45,FEVER,박진영,댄스 / 가요,Dreamus,(주)JYP엔터테인먼트,2019.12.23
45,20191201,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),46,MAP OF THE SOUL : PERSONA,방탄소년단,랩/힙합 / 가요,YG PLUS,BIGHIT MUSIC,2019.04.12
46,20191201,허전해,47,"정규 2집 '마음, 하나'",폴킴,R&B/소울 / 가요,카카오엔터테인먼트,뉴런뮤직,2019.10.07
47,20191201,Senorita,48,Senorita,Camila Cabello & Shawn Mendes,팝 / POP,Universal Music,"Island Records, a division of UMG Recordings, Inc.",2019.06.21
48,20191201,Obsession,49,OBSESSION - The 6th Album,EXO,댄스 / 가요,Dreamus,SM ENTERTAINMENT,2019.11.27
49,20191201,술이 문제야,50,술이 문제야,장혜진 & 윤민수(바이브),발라드 / 가요,카카오엔터테인먼트,젤리피쉬 엔터테인먼트,2019.06.18
50,20191201,너를 만나,51,너를 만나,폴킴,발라드 / 가요,카카오엔터테인먼트,뉴런뮤직,2018.10.29
51,20191201,그대라는 시,52,호텔 델루나 OST Part.3 (tvN 토일드라마),태연 (TAEYEON),드라마 / OST,Dreamus,냠냠엔터테인먼트,2019.07.21
52,20191201,Snowman,53,Everyday Is Christmas (Deluxe Edition),Sia,팝 / POP,워너뮤직,"Monkey Puzzle, Atlantic",2017.11.17
53,20191201,가을밤 떠난 너,54,Rewind,케이시 (Kassy),발라드 / 가요,카카오엔터테인먼트,넥스타 엔터테인먼트,2019.09.05
54,20191201,그 사람,55,Love poem,아이유 (IU),락 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2019.11.18
55,20191201,LION,56,퀸덤 ＜FINAL 컴백 싱글＞,Various Artists,전체 / 가요,지니뮤직,Stone Music Entertainment,2019.10.25
56,20191201,이별주,57,이별주,황인욱,발라드 / 가요,NHN벅스,하우엔터테인먼트,2019.11.01
57,20191201,자장가,58,Love poem,아이유 (IU),락 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2019.11.18
58,20191201,날 보러 와요 (Come See Me),59,NEW MOON,AOA,댄스 / 가요,카카오엔터테인먼트,FNC엔터테인먼트,2019.11.26
59,20191201,Feel Special,60,Feel Special,TWICE (트와이스),댄스 / 가요,Dreamus,(주)JYP엔터테인먼트,2019.09.23
60,20191201,19 BAND,61,BAND,창모 & Hash Swan & ASH ISLAND & 김효은,랩/힙합 / 가요,"지니뮤직, Stone Music Entertainment",Ambition Musik,2019.06.08
61,20191201,사계 (Four Seasons),62,사계 (Four Seasons),태연 (TAEYEON),발라드 / 가요,Dreamus,SM ENTERTAINMENT,2019.03.24
62,20191201,Paris In The Rain,63,I met you when I was 18. (the playlist),Lauv,팝 / POP,NHN벅스,뮤직테이블,2018.10.08
63,20191201,벗,64,벗,닐로 (Nilo),발라드 / 가요,Universal Music,리메즈,2019.08.26
64,20191201,차가워진 이 바람엔 우리가 써있어 (Bad Love),65,차가워진 이 바람엔 우리가 써있어 (Bad Love),HYNN (박혜원),발라드 / 가요,카카오엔터테인먼트,㈜엔터테인먼트뉴오더,2019.11.12
65,20191201,너에게 못했던 내 마지막 말은,66,너에게 못했던 내 마지막 말은,다비치,발라드 / 가요,지니뮤직,WAKEONE,2019.05.17
66,20191201,헤어지자 (Prod. by 정키 (Jung Key)),67,soar,휘인 (Whee In),발라드 / 가요,카카오엔터테인먼트,(주)RBW,2019.09.04
