song,artist,view
아름다운 밤이야,비스트,3193337.6086956523
Hello Bubble,걸스데이,3192699.652173913
White Day,걸스데이,3187139.7916666665
가,BOBBY,3165670.695652174
Don`t Cry,더 크로스,3143455.0434782607
I Need You,"허각, 지아",3143225.217391304
진절머리 (Feat. Okasian & Dok2),빈지노 (Beenzino),3132599.5454545454
Young 20 (Prod. 이대휘),박지훈,3109932.086956522
태양의 그림자,엠씨더맥스 (M.C the MAX),3090551.4166666665
있다 없으니까 (Gone Not Around Any Longer),씨스타19,3065789.086956522
내사람 (Ivy Mix),SG 워너비,3037960.6086956523
Can't U See,손담비,3011408.9565217393
그리워하다,비투비,2999905.8260869565
I Swear,씨스타,2986689.217391304
여자 대통령,걸스데이,2944571.782608696
선물,멜로망스,2927686.8695652173
She's Gone (Feat. Kush),G-DRAGON,2871348.434782609
맘마미아,카라,2869262.913043478
소주 한 잔,임창정,2847310.75
난말야,UNI.T,2792212.0434782607
아름다워 (Beautiful) (Feat. 지코 (ZICO),C JAMM,2791765.8125
홈런 (Feat. 옥주현),MC몽,2738023.272727273
양화대교,Zion.T,2717868.1304347827
BAE,효린,2665110.125
On My Way (Feat. Zion.T),Dok2,2661890.0
아로하,쿨 (COOL),2639162.565217391
이 별,길구봉구,2601417.347826087
Kiss Me,샵,2588523.782608696
그래도 남자니까,MC몽,2583710.434782609
난 예술이야,헬로비너스,2548704.8695652173
저녁하늘,에일리(AILEE),2516956.0434782607
갈 곳이 없어,거미,2515979.3913043477
마지막 인사,BIGBANG,2508045.913043478
십년이 지나도,송승헌,2464055.913043478
링마벨 (Ring My Bell),걸스데이,2463043.1304347827
너란 봄 (Feat. 하림),정은지,2452142.8695652173
니 소식,송하예,2449178.5416666665
행복하지 말아요,엠씨더맥스 (M.C the MAX),2419984.7391304346
체념,빅마마,2411986.0
너 없인 안된다,비투비,2402205.086956522
넘쳐흘러,엠씨더맥스 (M.C the MAX),2402150.695652174
노는 게 제일 좋아 (OH YA YA YA),루나솔라 (LUNARSOLAR),2397420.1304347827
동네한바퀴 (꽃다운나이) (Feat. 칸토 Of 트로이),이선희,2393880.4
샤넬 (Feat. 박봄),MC몽,2362007.652173913
LOVE DAY,"양요섭, 정은지",2344884.5217391304
사랑이란 멜로는 없어,전상근,2339233.0434782607
잠꼬대,뉴이스트,2330985.1739130435
엄마,라디 (Ra. D),2323375.1739130435
HANDS UP,BIGBANG,2322071.8260869565
하늘바라기 (Feat. 하림),정은지,2302501.565217391
죽을 만큼 아파서 (Feat. 멜로우),MC몽,2295775.1304347827
꽃이야,JBJ,2286868.782608696
해바라기,IZ*ONE (아이즈원),2281121.434782609
I'm In Love,시크릿,2263516.347826087
술 한잔 해요,지아,2258534.347826087
"호랑나비 (Feat. Gill, 리듬파워, 김흥국)",보이비,2241978.0
사랑 범벅 (Feat. 챈슬러 of the channels),MC몽,2222816.6086956523
My Way,이수 (엠씨더맥스),2210557.695652174
Awoo,Lim Kim,2198055.9583333335
FIVE,Apink (에이핑크),2178437.8695652173
여름여름해 (Sunny Summer),여자친구 (GFRIEND),2166096.913043478
"날 봐, 귀순",대성,2165585.2608695654
In The Club,2NE1,2135670.7391304346
보름달 (Feat. Lena),선미,2113975.086956522
바람인가요,브라운 아이드 소울,2110699.8695652173
운명처럼,벤,2104385.9565217393
잘 있나요,The One (더원),2097712.2608695654
WAKE ME UP,태양,2086185.347826087
너에게 쓰는 편지 (Feat. 린),MC몽,2066275.1304347827
"인기 (Feat. 송가인, 챈슬러)",MC몽,2027793.652173913
눈물에 얼굴을 묻는다,장나라,2023461.652173913
살찐 사랑,제시 (Jessi),1967959.0833333333
"아퍼 (Feat. Kid Milli, Lil tachi, 김승민, NO:EL, C JAMM)",기리보이,1961859.1304347827
고마워고마워,라디 (Ra. D),1957412.4761904762
Rap Star,Dok2,1957254.7826086956
Boo,아이유,1953495.5652173914
응급실,izi,1947858.5652173914
Dream Girls,아이오아이 (I.O.I),1946607.347826087
그대이기에,The One (더원),1939447.0
눈 내리는 마을,"애프터스쿨, 브라운아이드걸스, 케이윌, 간미연, 테이, 숙희, 안영민",1936493.75
아직 너의 시간에 살아,이수현,1936487.956521739
"다시 난, 여기",백예린 (Yerin Baek),1916448.25
반창고,"MC몽, 허각",1911568.0869565217
I Love U Oh Thank U (Feat. 김태우 Of God),MC몽,1907270.956521739
너만 생각나,장나라,1870778.7391304348
열두 시가 되면,가인,1868689.2608695652
Pepe,CLC,1844809.043478261
Navy & Shining Gold,VIXX (빅스),1819363.7916666667
알아 (Feat. HYNN(박혜원)),MC몽,1818491.0555555555
사람냄새,"정인, 개리",1817759.391304348
미안해요 (Feat. T.O.P),거미,1810851.652173913
불공평해 (Unfair),EXO,1803241.4782608696
"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","양요섭, 정은지",1788024.7391304348
SOUL,"H&D (한결, 도현)",1770400.9090909092
녹,김태우,1769371.4
노래가 늘었어,에일리(AILEE),1747995.1739130435
L4L (Lookin' For Luv) (Feat. Dok2 & The Quiett),"BOBBY (FEAT. DOK2, THE QUIETT)",1747678.956521739
오늘 모해 (#WYD),IKON,1742769.391304348
연,빅마마,1736015.5217391304
금지된 사랑,김경호,1722612.0
Luv D.N.A (Feat. 나비),MC몽,1722542.9130434783
사랑비,김태우,1721510.0869565217
눈물 (Feat. 유진 Of 더 씨야),리쌍,1719076.2173913044
내 사랑,태사비애,1716792.1739130435
내가 설렐 수 있게,Apink (에이핑크),1715651.9130434783
너를 사랑하고도,전유나,1714826.7391304348
파라다이스 (Feat. 박우진 Of AB6IX),김재환,1713524.608695652
HONEY BEE (Prod. by 박근태),"루나 (LUNA), 하니 (EXID), 솔라 (마마무)",1705091.2777777778
오늘따라 예쁘다,"윤딴딴, 은하 (여자친구)",1683783.25
No Mercy,스윙스,1669258.043478261
너를 지워야만 나 사는데,더 크로스,1652095.4782608696
미치겠어 (Feat. M.A.C),MC몽,1650197.5217391304
긴 생머리 그녀,틴탑,1638470.347826087
So Good,카라,1628944.4347826086
아름답고도 아프구나,비투비,1615251.347826087
못된 여자 II (With 서인영),원투,1609726.0
Very Good,원투,1602732.652173913
minimal warm (취향저격 그녀 X 찬열 (CHANYEOL)),찬열 (CHANYEOL),1600697.6956521738
장난아냐 (Rocking),틴탑,1599701.5217391304
미친거니,바이브,1598082.9130434783
아버지,다이나믹 듀오,1598066.1739130435
나도 모르는 노래 (Hallelujah),김필,1596667.391304348
날 그만 잊어요,거미,1579786.9130434783
Beautiful Target,B1A4,1577863.6956521738
좋은 길,김형중,1566904.0476190476
못된 여자 (Feat. 서인영),원투,1563274.2173913044
심상치 않아 (Feat. 주영),키썸 (Kisum),1555253.391304348
Something,"죠지, 강혜인",1551585.7826086956
No Woman No Cry,스토니 스컹크,1539494.956521739
그대와 둘이,브라운 아이드 소울,1528662.347826087
블랙홀 (Feat. 에일리),MC몽,1518862.391304348
Good-night Kiss,전효성,1515139.6666666667
Nothing Without You,Wanna One (워너원),1514673.1739130435
With Me,휘성 (Realslow),1509529.391304348
True Colors,JBJ,1500070.0
반짝반짝,걸스데이,1497309.7391304348
Give it 2 Me,신화,1488644.391304348
Paradise,효린,1485610.7826086956
친구라도 될 걸 그랬어,거미,1485317.0869565217
집에만 있었지 (바니와 오빠들 X 백아연),백아연,1483329.25
1분 1초,지연,1481842.2173913044
행복해,송하예,1480000.0
Diva,애프터스쿨,1477490.8260869565
화 (Feat. 진실 Of Mad Soul Child) (Fire),매드클라운,1475203.1304347827
너와 함께,울랄라세션,1456323.4782608696
내가 갈게,울랄라세션,1455856.5714285714
Insomnia (불면증),휘성 (Realslow),1454171.0869565217
연결고리 (Feat. MC Meta),ILLIONAIRE RECORDS,1453841.5652173914
욕심,멜로망스,1449266.0
나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,1439245.5217391304
Because I Love You,거미,1437229.0869565217
What,드림캐쳐,1436818.0416666667
다시 와주라,바이브,1436177.7826086956
Stand By Me,SHINee (샤이니),1431321.8260869565
So Fresh (Feat. 김태우) (위대한 캣츠비 OST 삽입곡),MC몽,1430321.5882352942
봄 같던 그녀가 춥대 (Feat. 페노메코),"MC몽, 김재환",1428879.956521739
TTL Listen 2,"티아라, 초신성",1427406.4782608696
New York (Feat. 백지영),MC몽,1423830.5333333334
내입술...따뜻한 커피처럼,샵,1420807.1739130435
거짓말이라도 해서 널 보고싶어,백지영,1410086.875
하루의 끝에,V.O.S,1404729.1304347827
만약에 말야 (전우성 Solo),노을,1403278.1739130435
내 입술 따뜻한 커피처럼 (Feat. 이성경),에디킴,1400511.5652173914
사랑의 시(時),엠씨더맥스 (M.C the MAX),1390496.4347826086
좋은 이별이 있을 리가 없잖아 (Feat. 조현아 Of 어반자카파),MC몽,1379521.3043478262
전할 수 없는 이야기,휘성 (Realslow),1367307.043478261
Another Day,"먼데이 키즈 (Monday Kiz), 펀치 (Punch)",1355180.4782608696
내 사랑 (MY LOVE),이하이,1345936.2608695652
우연히 봄,"로꼬, 유주 (여자친구)",1330191.5652173914
죽을 것만 같아,환희,1324839.4782608696
투명 우산 (Don't Let Me Go),SHINee (샤이니),1324732.4347826086
예쁜 나이 25살,송지은,1323828.0
오직 그대만,바비 킴,1317601.2608695652
Really Like You,IZ*ONE (아이즈원),1310071.5217391304
봄처럼,김보경 (NEON),1306842.0
내 생에 아름다운,케이윌,1291036.1304347827
안녕,박혜경,1279667.4782608696
TIAMO,티아라,1278065.391304348
립스틱 짙게 바르고,재하,1276056.3043478262
Pretty,IZ*ONE (아이즈원),1274853.956521739
별의 별,Apink (에이핑크),1255341.043478261
에너지 (Feat. 선예),마이티 마우스,1248391.619047619
내 이름은,티아라,1247247.7391304348
"떠나가요, 떠나지마요",더 크로스,1224305.347826087
바람났어 (Feat. 박봄),GG (박명수 & G-Dragon),1219793.05
슬픈 사랑,기호,1213433.5833333333
괜찮을까,박보람,1212438.2608695652
아프다,"지코 (ZICO), 소진 (Sojin)",1208350.3043478262
그 남잔 말야,엠씨더맥스 (M.C the MAX),1201656.043478261
숨바꼭질,터보,1200673.3043478262
Profile (Feat. The Quiett & Dok2),빈지노 (Beenzino),1196113.652173913
Wonderful Day,JBJ,1194591.2173913044
라밤바,정미애 (미스트롯),1190972.7391304348
나 항상 그대를,이선희,1183798.7826086956
사랑님,오유진,1180788.6956521738
My Love,거미,1180448.0
안되나요,휘성 (Realslow),1159588.956521739
2U,강다니엘,1153220.1739130435
내 안부,이우,1151259.4782608696
나의 모든 날,세정,1147420.391304348
나를 잊지마요,걸스데이,1142350.8260869565
잘 살고 있다,V.O.S,1127780.043478261
Fake Rock Star (Feat. NO:EL),"스윙스, 한요한",1125308.5217391304
"별, 그대 (The Only Star)",황치열,1124026.7826086956
나는... (Feat. Ivy),MC몽,1122967.2608695652
거북이,다비치,1112810.6956521738
아무도 모르게 (Prod. by MC몽),"치타 (CHEETAH), 에일리(AILEE)",1106877.6818181819
"너, 한눈 팔지마!",걸스데이,1103252.5217391304
"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,1095678.8695652173
사랑합니다...,팀,1093717.0
눈물길,휘성 (Realslow),1086003.1304347827
낡은 그리움,에일리(AILEE),1081149.5416666667
얼음꽃,에일리(AILEE),1078164.5652173914
죽을만큼 아파서 Part.2 (Feat. 스웨덴세탁소),MC몽,1074797.7826086956
Bungee,백현 (BAEKHYUN),1073352.75
어젯밤 이야기,소방차,1069667.2608695652
"전국민 러브송 (Feat. MC몽, 유리 Of Cool)",박장근,1058955.875
왜 (Why),유노윤호 (U-KNOW),1057790.9090909092
If You Love Me (Feat. 박재범),NS 윤지,1056737.7391304348
시간이 사랑을 대신할 수는 없잖아 (Vocal 전상근),밤에,1056044.5652173914
FOR YOU,플라워,1050272.6956521738
처럼 (Feat. 이하이),유재석 X Dok2,1049607.4347826086
겁나 (Feat. 매드클라운),멜로디데이 (MelodyDay),1047618.2857142857
MY STAR,이하이,1046193.1304347826
너에게 닿기를 (I Wish),우주소녀,1043872.7391304348
동화,멜로망스,1043784.7826086957
미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,1042961.304347826
널 너무 사랑해서 (Feat. 정은지 of 에이핑크),MC몽,1042592.8260869565
기억속의 먼 그대에게,박효신,1042090.2173913043
내 눈물이 하는 말,견우 (Kyunwoo),1038323.9565217391
라일락이 질때,이선희,1031678.3478260869
오늘 술 한잔해요,지아,1019951.6521739131
Tears,이병헌,1011751.1739130435
텅빈도로 (EMPTY ROAD),태양,1007220.304347826
너를,이우,1005950.0434782609
Perhaps Love (사랑인가요) (Prod.By 박근태),"에릭남 (Eric Nam), CHEEZE (치즈)",1003045.3636363636
나도 여자예요,민아 (걸스데이),1000970.8181818182
대박사건 (Crash),B.A.P,995694.4782608695
보고싶어,걸스데이,995015.8260869565
새벽 가로수길 (With 송유빈),백지영,993904.4347826086
비가 내리는 날에는,윤하 (YOUNHA),989784.2608695652
우리의 사랑이 필요한 거죠,변진섭,988472.6086956522
Rainbow Falling,차은우 (ASTRO),982449.695652174
그대라는 날개,김태우,979352.5217391305
하이힐,박혜경,977746.4347826086
미쳤어 (Feat. 에릭),손담비,976465.9565217391
SO CURIOUS,IZ*ONE (아이즈원),975756.6086956522
목소리 (Feat. 개리 Of 리쌍),백지영,974794.695652174
D-Day,정기고,972167.0869565217
나 오늘 술 마셨어,전철민,965902.0
내가 먼저,도겸 (SEVENTEEN),964344.0
뛰뛰빵빵,비투비,964172.5652173914
넘어와 (Feat. 백예린),DEAN,959915.304347826
좋다,데이브레이크 (DAYBREAK),953384.1304347826
La La (PROD. 이단옆차기),정세운,951667.2142857143
신 사랑고개,오유진,944010.2173913043
STAY THE NIGHT (Feat. DeVita),GRAY (그레이),940617.0
Fighter,몬스타엑스,938779.0869565217
사랑해요,김범수,937613.6521739131
Angel Song,에이프릴 (APRIL),936135.2083333334
랄랄라 (Feat. 소야),마이티 마우스,934844.6086956522
불꽃놀이 (Flowerbomb),Wanna One (워너원),933523.4782608695
나를 사랑했던 사람아,허각,932178.4782608695
공중도덕 (Air DoTheQ),"The Quiett, 수퍼비, myunDo, 플로우식 (Flowsik), Dok2",923911.4782608695
꿈을 꾸다,김태우,922549.7391304348
희나리,구창모,920107.1739130435
세글자 (Ivy Mix),엠투엠 (M To M),920037.0
꿈처럼 내린,다비치,912559.7391304348
낯선 길,성유진 (더 씨야),911281.0833333334
Bubble Love,"MC몽, 서인영",904494.2173913043
그여자,백지영,903910.5416666666
Twilight,Wanna One (워너원),902248.9565217391
난 네게,라디 (Ra. D),900519.3157894737
두근두근,벤,898794.304347826
바보에게... 바보가,박명수,897476.695652174
넌 감동이야,비투비,896602.1739130435
내 생애 가장 행복한 시간 (Feat. 허각),MC몽,896140.3913043478
슬픈 발걸음 (구두II),씨야,894698.8260869565
너 때문에 (Feat. 성훈 Of 브라운아이드소울),UV,894494.8571428572
바질 (Feat. BrotherSu),매드클라운,886118.1739130435
Marry Me,케이윌,878497.3913043478
사랑할래,별,876764.9130434783
나랑 사귈래,DIA (다이아),876719.6521739131
Hot Baby,베스티,873998.6521739131
다시 (Feat. 유재석),터보,872169.6086956522
미스터리 (Feat. San E),박지윤,871471.0869565217
오랜만이야,임창정,870653.0869565217
카페에 앉아,원 모어 찬스 (one more chance),869743.7391304348
아이스크림,MC몽,867415.8695652174
여성시대,"씨야, 다비치, 티아라",864293.2608695652
I'm in love,라디 (Ra. D),862865.2173913043
보라빛 향기,강수지,857737.9130434783
내게 남은 사랑을 드릴께요,장혜리,853208.5652173914
늪,조관우,850737.0
제자리 걸음,고유진 (플라워),849960.0
약속,김범수,849338.8695652174
Upgrader,Lim Kim,847308.9444444445
돌아보지마 (Follow Me & You),이진혁,845739.6666666666
커플,젝스키스,841174.1304347826
추억은 눈꽃처럼,강수지,841097.0869565217
